gene,gene_symbol_clean,n,events,coef,hr_per_sd,se_coef,z,p,ci_lower,ci_upper,c_index,error,q
FRZB_3,FRZB,186,143,-0.026499450471586864,0.9738485789928523,0.08879181205103599,-0.29844475362610506,0.7653637359700793,0.8182984102370544,1.1589672458628621,0.5260362501857079,,0.8799307150725216
LOC111096779_3,LOC111096779,186,143,0.024607994239026727,1.0249132698594041,0.08253121642365767,0.29816589777020197,0.7655765482822074,0.8718392507372997,1.2048634078421572,0.49821720398157776,,0.8799730440025373
LOC119870915_3,LOC119870915,186,143,0.024240590825590425,1.024536782391207,0.0815640455128081,0.2971970146059503,0.7663161009630846,0.8731726286594798,1.2021398564497152,0.5143366513148121,,0.8806206630235401
NRAP_3,NRAP,186,143,0.025428258025893064,1.025754313991214,0.0856772442570997,0.29679126874795503,0.7666258718281045,0.867190975342923,1.2133104962900634,0.4817634823948893,,0.8806597097010603
MBNL3_3,MBNL3,186,143,0.0245501917708379,1.0248540290548755,0.08282088229385708,0.29642514171403384,0.766905427313343,0.8712940534430503,1.205477963173845,0.5086539890060913,,0.8806597097010603
KIAA1549_3,KIAA1549,186,143,0.024483380479481905,1.0247855595210376,0.08264888456865076,0.2962336467970749,0.7670516549197766,0.8715295943631319,1.2049911440704046,0.5231020650720547,,0.8806597097010603
LOC612524_3,LOC612524,186,143,0.02219780245158858,1.0224460067965042,0.0749344052926737,0.2962297807647891,0.7670546071496236,0.8827873508683777,1.1841989305644052,0.5428613876095677,,0.8806597097010603
ABCA9_3,ABCA9,186,143,-0.02577493573028785,0.974554402302947,0.08712654236300675,-0.2958333365611865,0.7673573629703343,0.8215686150756507,1.156027951433612,0.522062100727975,,0.8808050539145251
PTX3_3,PTX3,186,143,-0.022277472668721442,0.977968837776944,0.0756926739829627,-0.2943147797068944,0.7685173799650594,0.8431314621152298,1.1343700130265966,0.5349873718615362,,0.8816864062665253
PTPRN_3,PTPRN,186,143,-0.02334353234508508,0.9769268201594181,0.07932443744098011,-0.29427920446903144,0.76854456191418,0.8362592780080513,1.141256111645321,0.47693507651166245,,0.8816864062665253
PRAM1_3,PRAM1,186,143,-0.024260500282728307,0.9760314201771856,0.08257901492573247,-0.2937852952659585,0.768921972188658,0.8301802812799789,1.1475065773717363,0.4958401426236815,,0.8816864062665253
SLITRK5_3,SLITRK5,186,143,0.024028784610337424,1.0243198021126383,0.08181582904750387,0.2936935907156284,0.7689920523127118,0.8725570033492964,1.2024785234347068,0.5075397414945774,,0.8816864062665253
ARHGAP20_3,ARHGAP20,186,143,-0.023742716910280844,0.9765369238769511,0.0808471369121301,-0.2936741833676308,0.7690068835456634,0.8334344755396176,1.1442103628814038,0.4734066260585351,,0.8816864062665253
LOC480784_3,LOC480784,186,143,0.02520837119816919,1.0255287889249907,0.08622943156145996,0.29234068625631543,0.7700261536626709,0.8660624939839396,1.2143572827822529,0.5262590996880107,,0.8824122033777253
LOC119864256_3,LOC119864256,186,143,0.0257957072374932,1.0261312958617894,0.08832727131879492,0.29204691656770565,0.7702507525579194,0.8630155552825369,1.22007700776874,0.5218392512256723,,0.8824122033777253
LOC607080_2,LOC607080,186,143,-0.026087080089102148,0.9742502481163868,0.08934506756867946,-0.29198120051841736,0.7703009977930445,0.8177487061926537,1.1607032071919017,0.5321274699153172,,0.8824122033777253
ATRNL1_3,ATRNL1,186,143,0.026192635210497167,1.0265386769222125,0.0897561988522266,0.29181979122824003,0.7704244123426737,0.8609435999977323,1.2239845388478203,0.5264448076065964,,0.8824122033777253
COBL_3,COBL,186,143,0.024642539872914912,1.024948676749565,0.08448687176647163,0.2916730062041927,0.7705366501343855,0.868533878540018,1.209532311781067,0.5003342742534541,,0.8824122033777253
MYBL1_3,MYBL1,186,143,-0.023332957914413345,0.9769371506589687,0.08005518158708146,-0.2914609329694981,0.7706988184301052,0.8350712481873929,1.1429039119827205,0.527781904620413,,0.8824122033777253
PPP1R16B_3,PPP1R16B,186,143,-0.021028019242485558,0.9791915279802229,0.07225388605382599,-0.2910295956513758,0.7710286846450245,0.8498945180152316,1.1281588810660619,0.5002971326697371,,0.8825877800423816
MGAT5B_3,MGAT5B,186,143,0.023687527276649852,1.023970305105726,0.08166216488438775,0.2900673440409667,0.7717647179515355,0.8725220309984473,1.2017062589680094,0.5166394295052741,,0.8832281047740164
LOC477556_3,LOC477556,186,143,-0.023578229559349646,0.9766975650600053,0.08150763974285698,-0.2892763136527451,0.772369936798874,0.8324931645431589,1.1458810404979465,0.5086168474223741,,0.8837184631566064
METTL24_3,METTL24,186,143,-0.022818082329528585,0.9774402812595261,0.07958013805151247,-0.28673087139856895,0.774318397688929,0.8362795876709854,1.1424283427620585,0.49483731986331897,,0.8857451357686216
TIAM1_3,TIAM1,186,143,-0.025307181456377035,0.9750103609197652,0.08855918542043369,-0.28576574339783606,0.7750575472627514,0.819648249007378,1.1598209415467606,0.49279453275887686,,0.8862578447770905
IGDCC4_3,IGDCC4,186,143,-0.022539749423327017,0.977712372917922,0.07889782888351758,-0.2856827588577125,0.7751211110420433,0.837631801706268,1.1412191874873518,0.49792007131184074,,0.8862578447770905
NEB_3,NEB,186,143,0.02527164818409032,1.0255936833488695,0.08863434808891847,0.2851225143410279,0.7755502816932627,0.8620444169485824,1.2201719338875312,0.48908037438716384,,0.8865458181221567
SDC1_3,SDC1,186,143,0.022623163571105394,1.0228810080843593,0.07953562150730613,0.2844406461201442,0.7760727136609599,0.875234183566799,1.1954349776831144,0.5268905066112018,,0.8869402441839541
AADAT_3,AADAT,186,143,0.02307501332169531,1.0233433010483601,0.08124592782237071,0.28401439850800386,0.7763993464023582,0.8726994290032057,1.1999910587734646,0.4967315406328926,,0.887110770569422
WNK3_3,WNK3,186,143,0.024111312926137368,1.0244043409891248,0.08506215123896085,0.28345524507606984,0.776827884576559,0.8670943887099619,1.2102537711017094,0.5098425196850394,,0.8873976291713035
ARPP21_3,ARPP21,186,143,0.023863555092952786,1.0241505682276892,0.08444581378310814,0.2825901489237144,0.7774910326837777,0.8679274085106645,1.2084932174235061,0.5109196256128361,,0.8875900747567208
KCTD1_3,KCTD1,186,143,0.024959467163225012,1.025273562436245,0.08833043842515041,0.28256926613553723,0.7775070425999219,0.8622888161580713,1.2190647241770671,0.5099539444361908,,0.8875900747567208
