gene,gene_symbol_clean,univariate_candidate_rank,univariate_candidate_source,in_univariate_candidate_set,dfi_univ_rank,dfi_univ_coef,dfi_univ_hr_per_sd,dfi_univ_p,dfi_univ_q,dfi_univ_c_index,os_univ_rank,os_univ_coef,os_univ_hr_per_sd,os_univ_p,os_univ_q,os_univ_c_index,dfi_full_conditional_selected,dfi_full_conditional_rank,dfi_full_conditional_coef,dfi_full_conditional_hr_per_sd,dfi_full_conditional_p,dfi_full_conditional_c_index,os_full_conditional_selected,os_full_conditional_rank,os_full_conditional_coef,os_full_conditional_hr_per_sd,os_full_conditional_p,os_full_conditional_c_index,dfi_true_mb_n_configs,dfi_true_mb_algorithms,dfi_true_mb_alphas,dfi_true_mb_mean_rank,os_true_mb_n_configs,os_true_mb_algorithms,os_true_mb_alphas,os_true_mb_mean_rank,nested_dfi_conditional_selected_folds,nested_dfi_conditional_selection_frequency,nested_dfi_conditional_mean_rank,nested_dfi_conditional_plus_clinical_selected_folds,nested_dfi_conditional_plus_clinical_selection_frequency,nested_dfi_conditional_plus_clinical_mean_rank,nested_dfi_elasticnet_selected_folds,nested_dfi_elasticnet_selection_frequency,nested_dfi_elasticnet_mean_rank,nested_dfi_gsmb_selected_folds,nested_dfi_gsmb_selection_frequency,nested_dfi_gsmb_mean_rank,nested_dfi_iamb_selected_folds,nested_dfi_iamb_selection_frequency,nested_dfi_iamb_mean_rank,nested_dfi_univtop10_selected_folds,nested_dfi_univtop10_selection_frequency,nested_dfi_univtop10_mean_rank,nested_os_conditional_selected_folds,nested_os_conditional_selection_frequency,nested_os_conditional_mean_rank,nested_os_conditional_plus_clinical_selected_folds,nested_os_conditional_plus_clinical_selection_frequency,nested_os_conditional_plus_clinical_mean_rank,nested_os_elasticnet_selected_folds,nested_os_elasticnet_selection_frequency,nested_os_elasticnet_mean_rank,nested_os_gsmb_selected_folds,nested_os_gsmb_selection_frequency,nested_os_gsmb_mean_rank,nested_os_iamb_selected_folds,nested_os_iamb_selection_frequency,nested_os_iamb_mean_rank,nested_os_univtop10_selected_folds,nested_os_univtop10_selection_frequency,nested_os_univtop10_mean_rank,nested_any_max_selection_frequency,nested_any_total_selected_folds,dfi_os_both_univariate_available,dfi_os_same_direction,dfi_os_both_nominal_p05,dfi_os_both_fdr_q10,combined_univ_rank_score,rna_evidence_priority_score,rna_evidence_tier,gene_symbol_clean_upper,external_gene_name_upper,dog_ensembl_gene_id,dog_external_gene_name,dog_gene_biotype,human_ensembl_gene_id,human_gene_symbol,dog_human_orthology_type,dog_human_orthology_confidence,dog_human_orthology_confidence_numeric,dog_human_perc_id,human_dog_perc_id,has_human_homolog,is_one_to_one_ortholog,ortholog_mapping_status
LOC119876408,LOC119876408,,,False,496.0,0.2370003018100357,1.2674415003017905,0.0049874440808751,0.0502688860499086,0.5637349576585946,659.0,0.2036640992144416,1.2258863081165947,0.0203861773311218,0.1546750935593461,0.5662828815863117,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,2,0.4,5.0,2,0.4,2.5,1,0.2,1.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.4,5,True,True,True,False,1155.0,4.0,exploratory_rna_evidence,LOC119876408,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
LOC476816_3,LOC476816,19.0,dfi_top400,True,19.0,-0.3388201818057778,0.7126105779162039,2.179731129462139e-05,0.0055585881456757,0.5979794978457882,37.0,-0.3042464546046974,0.7376790396493749,0.0003472276016276,0.0469226488686073,0.598544814903654,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,8.0,0.2,1,True,True,True,True,56.0,4.0,exploratory_rna_evidence,LOC476816,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
LOC111097086_3,LOC111097086,17.0,dfi_top400,True,17.0,-0.3398889820810216,0.7118493464090726,2.105991775277917e-05,0.0055585881456757,0.6083791412865844,202.0,-0.2644998938498966,0.7675897303472977,0.0033608033394698,0.0831254648485066,0.5922283521228112,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,1,0.2,9.0,0,0.0,,0,0.0,,1,0.2,3.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.2,2,True,True,True,True,219.0,4.0,exploratory_rna_evidence,LOC111097086,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
LOC100855995_3,LOC100855995,30.0,dfi_top400,True,30.0,0.3706251508574029,1.4486399501551177,4.347911414605888e-05,0.0067446788096494,0.603922151240529,142.0,0.2916638768892461,1.3386529898039998,0.0022086723407387,0.0756453002193586,0.5894299192452227,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,10.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.2,1,True,True,True,True,172.0,4.0,exploratory_rna_evidence,LOC100855995,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
LOC612325_3,LOC612325,57.0,dfi_top400,True,57.0,-0.3261801261425464,0.7216751831565695,9.501097586797403e-05,0.0079482156381895,0.6075620264448076,247.0,-0.2556642992559659,0.7744018924530021,0.0042082118288945,0.0842142486875269,0.5795954265611257,False,,,,,,False,,,,,,0,,,,1,GSMB,0.1,2.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,5.0,1,0.2,5.0,0,0.0,,0.2,2,True,True,True,True,304.0,4.0,exploratory_rna_evidence,LOC612325,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
LOC119877688,LOC119877688,67.0,dfi_top400,True,67.0,-0.3463951707377019,0.7072329541103063,0.0001195884650652,0.0089055996117877,0.6210815629178428,102.0,-0.3104758188098619,0.7330980513808082,0.001300816648966,0.0634546305609596,0.6061405612856801,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,1,0.2,12.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.2,1,True,True,True,True,169.0,4.0,exploratory_rna_evidence,LOC119877688,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
LOC102154334_3,LOC102154334,120.0,dfi_top400,True,120.0,0.2903803742396357,1.3369359273075303,0.0003109153588457,0.0129548066185712,0.5917768533650275,2377.0,0.0985505323200719,1.1035701689464223,0.2465603934692843,0.5186377649753561,0.5368993363716319,True,6.0,0.304812057737136,1.356370059791354,0.0010768908008195,0.715346902391918,False,,,,,,0,,,,0,,,,1,0.2,6.0,1,0.2,6.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.2,2,True,True,False,False,2497.0,4.0,exploratory_rna_evidence,LOC102154334,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
KLHL9_3,KLHL9,148.0,dfi_top400,True,148.0,-0.2854723812963882,0.7516591007415827,0.0004162276932461,0.0138689824480412,0.5984251968503937,181.0,-0.26367628799686,0.7682221821516957,0.0029365741150702,0.0811208319080179,0.5934276804989206,False,,,,,,False,,,,,,0,,,,0,,,,1,0.2,1.0,1,0.2,1.0,1,0.2,3.0,0,0.0,,0,0.0,,1,0.2,1.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.2,4,True,True,True,True,329.0,4.0,exploratory_rna_evidence,KLHL9,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
LOC111091730_3,LOC111091730,190.0,dfi_top400,True,190.0,-0.2899373926497141,0.7483104158443544,0.0006473655129372,0.0170359345509792,0.594488188976378,31.0,-0.3451623383950057,0.7081053914439354,0.0002924198522582,0.0452767743391759,0.6069001359238826,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,5.0,0,0.0,,0,0.0,,0,0.0,,0.2,1,True,True,True,True,221.0,4.0,exploratory_rna_evidence,LOC111091730,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
LOC119876150,LOC119876150,334.0,dfi_top400,True,334.0,-0.2711840272296655,0.7624761671165359,0.0019321637648177,0.0288864947145514,0.5864284653097608,257.0,-0.276420869070874,0.7584936370632388,0.0043508423452503,0.0846467382344426,0.5910690013592388,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,10.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.2,1,True,True,True,True,591.0,4.0,exploratory_rna_evidence,LOC119876150,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
