analysis_set,initial_factors,factor,active_group_count,active_groups,activity_class,minimum_group_r2,maximum_group_r2,mean_group_r2
four_cohort_detection_aware,16,Factor2,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,4.671370983123779,10.06549596786499,7.213330268859863
four_cohort_detection_aware,16,Factor3,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,5.108267068862915,6.22628927230835,5.504310131072998
four_cohort_detection_aware,16,Factor4,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.6942203044891355,6.69701099395752,4.124161601066589
four_cohort_detection_aware,16,Factor5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.3285458087921145,5.00948429107666,2.881181240081787
four_cohort_detection_aware,16,Factor6,1,DOG2,group_specific,0.0436365604400634,8.004635572433472,2.333222329616546
four_cohort_detection_aware,16,Factor7,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.5984961986541748,2.9807448387146,1.8752187490463257
four_cohort_detection_aware,16,Factor8,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.6139397621154785,3.1377077102661133,1.833994686603546
four_cohort_detection_aware,16,Factor9,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.3734469413757324,2.1469414234161377,1.5600234270095823
three_cohort_no_ffpe,8,Factor1,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,11.606848239898682,15.470075607299805,12.94581691424052
three_cohort_no_ffpe,8,Factor2,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,8.529138565063477,9.78853702545166,9.102328618367514
three_cohort_no_ffpe,8,Factor3,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,3.347235918045044,6.992059946060181,4.981760183970134
three_cohort_no_ffpe,8,Factor4,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.852964401245117,5.988621711730957,4.0122926235198975
three_cohort_no_ffpe,8,Factor5,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.6009678840637207,4.240620136260986,3.2867292563120523
three_cohort_no_ffpe,8,Factor6,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,1.163029670715332,6.325674057006836,2.990293502807617
three_cohort_no_ffpe,12,Factor1,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,10.79005002975464,13.961011171340942,11.996648708979288
three_cohort_no_ffpe,12,Factor2,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,7.964211702346802,10.0206196308136,9.10215973854065
three_cohort_no_ffpe,12,Factor3,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.9479622840881348,7.757186889648437,4.849473635355632
three_cohort_no_ffpe,12,Factor4,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,3.61362099647522,4.737269878387451,4.126958052317302
three_cohort_no_ffpe,12,Factor5,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.744847536087036,4.58451509475708,3.54313055674235
three_cohort_no_ffpe,12,Factor6,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,1.6742944717407229,4.449653625488281,3.0534942944844565
three_cohort_no_ffpe,12,Factor7,2,DOG2;TARGET_OS,partially_shared,0.6202757358551025,5.776965618133545,2.545358737309774
three_cohort_no_ffpe,12,Factor8,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.0550131797790527,3.24358344078064,2.538025379180908
three_cohort_no_ffpe,12,Factor9,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,1.9768834114074707,2.301287651062012,2.1083474159240723
three_cohort_no_ffpe,16,Factor1,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,11.08943223953247,14.383584260940552,12.339230378468832
three_cohort_no_ffpe,16,Factor10,2,DOG2;TARGET_OS,partially_shared,0.6016969680786133,1.4213144779205322,1.09675129254659
three_cohort_no_ffpe,16,Factor2,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,8.600825071334839,9.15476679801941,8.853898445765177
three_cohort_no_ffpe,16,Factor3,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.951592206954956,7.938802242279053,4.9692948659261065
three_cohort_no_ffpe,16,Factor4,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,1.9277691841125488,6.448876857757568,3.645815451939901
three_cohort_no_ffpe,16,Factor5,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.5729775428771973,4.20653223991394,3.2670319080352783
three_cohort_no_ffpe,16,Factor6,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.9610753059387207,3.3316493034362797,3.0981640021006265
three_cohort_no_ffpe,16,Factor7,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.661311626434326,2.953040599822998,2.823716402053833
three_cohort_no_ffpe,16,Factor8,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,1.0119318962097168,4.453372955322266,2.7085602283477783
three_cohort_no_ffpe,16,Factor9,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,1.7935097217559814,2.3512721061706543,2.1214385827382407
