module_label,canine_gene,canine_gene_symbol,human_gene_symbol,ortholog_qc_status,raw_pca_loading,risk_oriented_loading,absolute_risk_loading,is_strict_mapping,is_broad_mapping,human_symbol_duplicate_count,normalized_abs_sum_weight
M11,ADAMTS1_3,ADAMTS1,ADAMTS1,strict_symbol_concordant_one_to_one,0.35861030809487116,0.35861030809487116,0.35861030809487116,True,True,1,0.12744790333881806
M11,ADAMTS4_3,ADAMTS4,ADAMTS4,strict_symbol_concordant_one_to_one,0.355362764730042,0.355362764730042,0.355362764730042,True,True,1,0.12629374635139573
M11,ANGPT2_3,ANGPT2,ANGPT2,strict_symbol_concordant_one_to_one,0.3223309477092098,0.3223309477092098,0.3223309477092098,True,True,1,0.11455444124011369
M11,DRD1_3,DRD1,DRD1,strict_symbol_concordant_one_to_one,0.2832379650829795,0.2832379650829795,0.2832379650829795,True,True,1,0.10066103505934153
M11,IGFBP3_3,IGFBP3,IGFBP3,strict_symbol_concordant_one_to_one,0.4110996652244612,0.4110996652244612,0.4110996652244612,True,True,1,0.146102298828194
M11,MCAM_3,MCAM,MCAM,strict_symbol_concordant_one_to_one,0.3739169431489546,0.3739169431489546,0.3739169431489546,True,True,1,0.1328877875272539
M11,STC1_3,STC1,STC1,strict_symbol_concordant_one_to_one,0.3730624327290713,0.3730624327290713,0.3730624327290713,True,True,1,0.13258409976664862
M11,TSPAN15_3,TSPAN15,TSPAN15,one_to_one_low_confidence_review,0.3361585545851875,0.3361585545851875,0.3361585545851875,False,True,1,0.11946868788823448
M17,CIRBP_3,CIRBP,CIRBP,strict_symbol_concordant_one_to_one,-0.34117574682822455,-0.34117574682822455,0.34117574682822455,True,True,1,-0.27885367715374876
M17,DDIT4_3,DDIT4,DDIT4,one_to_one_low_confidence_review,0.4409814754582099,0.4409814754582099,0.4409814754582099,False,True,1,0.3604280407719607
M17,P4HA1_3,P4HA1,P4HA1,strict_symbol_concordant_one_to_one,0.4413365838939082,0.4413365838939082,0.4413365838939082,True,True,1,0.3607182820742905
M20,RRAD_3,RRAD,RRAD,strict_symbol_concordant_one_to_one,0.5668447661317584,0.5668447661317584,0.5668447661317584,True,True,1,0.3885823312107528
M20,SMTNL2_3,SMTNL2,SMTNL2,one_to_one_low_confidence_review,0.503920893463401,0.503920893463401,0.503920893463401,False,True,1,0.345446879335388
M20,VGLL2_3,VGLL2,VGLL2,strict_symbol_concordant_one_to_one,0.38798508793772984,0.38798508793772984,0.38798508793772984,True,True,1,0.26597078945385927
M23,RBM44_3,RBM44,RBM44,strict_symbol_concordant_one_to_one,0.5081894784704895,0.5081894784704895,0.5081894784704895,True,True,1,0.5384132702448123
M23,SYCE2_3,SYCE2,SYCE2,strict_symbol_concordant_one_to_one,0.4356755905301681,0.4356755905301681,0.4356755905301681,True,True,1,0.46158672975518766
M24,CHST2_3,CHST2,CHST2,strict_symbol_concordant_one_to_one,0.3259893162878125,0.3259893162878125,0.3259893162878125,True,True,1,0.12366612510940513
M24,GABRA2_3,GABRA2,GABRA2,strict_symbol_concordant_one_to_one,0.38528057259172577,0.38528057259172577,0.38528057259172577,True,True,1,0.14615864113253735
M24,HHIP_3,HHIP,HHIP,strict_symbol_concordant_one_to_one,0.3979603365268194,0.3979603365268194,0.3979603365268194,True,True,1,0.15096879040678715
M24,NETO1_3,NETO1,NETO1,strict_symbol_concordant_one_to_one,0.4228145410292093,0.4228145410292093,0.4228145410292093,True,True,1,0.1603973913145961
M24,NR2F1_3,NR2F1,NR2F1,strict_symbol_concordant_one_to_one,0.340405330369038,0.340405330369038,0.340405330369038,True,True,1,0.12913493194408612
M24,OSR2_3,OSR2,OSR2,strict_symbol_concordant_one_to_one,0.3626675654866067,0.3626675654866067,0.3626675654866067,True,True,1,0.1375802527435984
M24,RYR2_3,RYR2,RYR2,strict_symbol_concordant_one_to_one,0.40092608856955025,0.40092608856955025,0.40092608856955025,True,True,1,0.1520938673489898
M25,ENC1_3,ENC1,ENC1,strict_symbol_concordant_one_to_one,-0.37922892942265396,0.37922892942265396,0.37922892942265396,True,True,1,0.24637152584852248
M25,KCTD12_3,KCTD12,KCTD12,strict_symbol_concordant_one_to_one,0.3501619052649856,-0.3501619052649856,0.3501619052649856,True,True,1,-0.2274877157328145
M25,SERTM1_3,SERTM1,SERTM1,strict_symbol_concordant_one_to_one,0.40565426014446637,-0.40565426014446637,0.40565426014446637,True,True,1,-0.2635391218462656
M25,STK39_3,STK39,STK39,strict_symbol_concordant_one_to_one,-0.40421123000722087,0.40421123000722087,0.40421123000722087,True,True,1,0.2626016365723973
