endpoint,random_source,n_folds,mean_observed_c_index,mean_random_mean_c_index,mean_percentile,median_percentile,mean_delta_vs_random_mean,median_delta_vs_random_median
DFI,train_screen_top1000,5,0.6293831782040573,0.6129149878869337,0.68,0.8,0.016468190317123745,0.02713987473903956
DFI,train_variance_top5000,5,0.6293831782040573,0.6103852677228803,0.6266666666666667,0.8333333333333334,0.018997910481177115,0.03537284894837478
DFI,train_screen_top500,5,0.6293831782040573,0.6255570280138634,0.6133333333333333,0.6333333333333333,0.003826150190194033,0.005736137667303964
OS,train_screen_top1000,5,0.5813317534496639,0.5752429605181357,0.6066666666666667,0.7333333333333333,0.006088792931528264,0.013358778625954137
OS,train_variance_top5000,5,0.5813317534496639,0.5742705401821305,0.5666666666666667,0.4666666666666667,0.007061213267533462,-0.0045351473922903285
OS,train_screen_top500,5,0.5813317534496639,0.5779908974306033,0.5333333333333333,0.5333333333333333,0.0033408560190606564,0.0
