analysis,module_label,gene,gene_symbol_clean,endpoint,fold
full_cohort,M40,BUB1_3,BUB1,,
full_cohort,M34,SELPLG_3,SELPLG,,
full_cohort,M28,LURAP1L_3,LURAP1L,,
full_cohort,M40,FAM180A_3,FAM180A,,
full_cohort,M24,NETO1_3,NETO1,,
full_cohort,M40,PLK4_3,PLK4,,
full_cohort,M34,TAGAP_3,TAGAP,,
full_cohort,M40,SMO_3,SMO,,
full_cohort,M34,GPR183_3,GPR183,,
full_cohort,M34,TMEM86A_3,TMEM86A,,
full_cohort,M34,ABCC3_3,ABCC3,,
full_cohort,M40,DSN1_3,DSN1,,
full_cohort,M34,GSAP_3,GSAP,,
full_cohort,M34,SCTR_3,SCTR,,
full_cohort,M40,ORC6_3,ORC6,,
full_cohort,M40,SULT1C4_3,SULT1C4,,
full_cohort,M34,LMO2_3,LMO2,,
full_cohort,M40,XG_3,XG,,
full_cohort,M34,NCKAP1L_3,NCKAP1L,,
full_cohort,M34,LOC119875957_1,LOC119875957,,
full_cohort,M34,LOC119877532,LOC119877532,,
full_cohort,M34,DENND1C_3,DENND1C,,
full_cohort,M40,UHRF1_3,UHRF1,,
full_cohort,M40,CDT1_3,CDT1,,
full_cohort,M40,SKA3_3,SKA3,,
full_cohort,M34,PTPN6_3,PTPN6,,
full_cohort,M28,LOC119866898_3,LOC119866898,,
full_cohort,M40,GTSE1_3,GTSE1,,
full_cohort,M40,CCNA2_3,CCNA2,,
full_cohort,M23,RBM44_3,RBM44,,
full_cohort,M40,AURKA_3,AURKA,,
full_cohort,M40,UBE2C_3,UBE2C,,
full_cohort,M34,CBLN3_3,CBLN3,,
full_cohort,M34,PIK3AP1_3,PIK3AP1,,
full_cohort,M34,PRDM1_3,PRDM1,,
full_cohort,M40,ITGBL1_3,ITGBL1,,
full_cohort,M34,IFIT2_3,IFIT2,,
full_cohort,M34,LOC119874749_2,LOC119874749,,
full_cohort,M34,B2M_3,B2M,,
full_cohort,M34,PARP4_3,PARP4,,
full_cohort,M34,HNMT_3,HNMT,,
full_cohort,M40,RAB30_3,RAB30,,
full_cohort,M40,DEPDC1_3,DEPDC1,,
full_cohort,M34,VWA5A_3,VWA5A,,
full_cohort,M34,PARP12_3,PARP12,,
full_cohort,M34,CYTH4_3,CYTH4,,
full_cohort,M40,CDC6_3,CDC6,,
full_cohort,M34,GMFG_3,GMFG,,
full_cohort,M34,ARRB1_3,ARRB1,,
full_cohort,M25,SERTM1_3,SERTM1,,
full_cohort,M34,LAPTM5_3,LAPTM5,,
full_cohort,M34,RNASEL_3,RNASEL,,
full_cohort,M28,ATP8B4_3,ATP8B4,,
full_cohort,M34,LOC106559420_3,LOC106559420,,
full_cohort,M34,NCF4_3,NCF4,,
full_cohort,M40,TROAP_3,TROAP,,
full_cohort,M34,TNFRSF14_3,TNFRSF14,,
full_cohort,M34,STING1_3,STING1,,
full_cohort,M40,UBE2T_3,UBE2T,,
full_cohort,M40,PBK_3,PBK,,
full_cohort,M34,PARP9_3,PARP9,,
full_cohort,M34,ADA2_3,ADA2,,
full_cohort,M34,ANXA3_3,ANXA3,,
full_cohort,M34,PTK2B_3,PTK2B,,
full_cohort,M34,LOC119878234,LOC119878234,,
full_cohort,M40,SLC13A5_3,SLC13A5,,
full_cohort,M40,DBF4B_3,DBF4B,,
full_cohort,M40,CCNB3_3,CCNB3,,
full_cohort,M34,PTPRC_4,PTPRC,,
full_cohort,M34,DTX3L_3,DTX3L,,
full_cohort,M34,GBP6_3,GBP6,,
full_cohort,M34,ANKRD22_3,ANKRD22,,
full_cohort,M34,PTPRJ_3,PTPRJ,,
full_cohort,M34,TYROBP_3,TYROBP,,
full_cohort,M40,NCAPH_3,NCAPH,,
full_cohort,M40,POLQ_3,POLQ,,
full_cohort,M34,LPXN_3,LPXN,,
full_cohort,M40,MAP1LC3C_3,MAP1LC3C,,
full_cohort,M40,KIF18B_3,KIF18B,,
full_cohort,M40,LOC119876044,LOC119876044,,
full_cohort,M34,EVI2A_3,EVI2A,,
full_cohort,M34,ARHGDIB_3,ARHGDIB,,
full_cohort,M34,IFI35_3,IFI35,,
full_cohort,M40,KIF4A_3,KIF4A,,
full_cohort,M34,CD244_3,CD244,,
full_cohort,M34,JAML_3,JAML,,
full_cohort,M34,SYK_3,SYK,,
full_cohort,M28,ZBED2_3,ZBED2,,
full_cohort,M34,GAB2_3,GAB2,,
full_cohort,M34,UBA7_3,UBA7,,
full_cohort,M34,PIK3CG_3,PIK3CG,,
full_cohort,M40,SH3D19_3,SH3D19,,
full_cohort,M40,CEP72_3,CEP72,,
full_cohort,M34,FERMT3_3,FERMT3,,
full_cohort,M34,DOCK2_3,DOCK2,,
full_cohort,M34,DRAM1_3,DRAM1,,
full_cohort,M40,CDCA2_3,CDCA2,,
full_cohort,M34,MYO1G_3,MYO1G,,
full_cohort,M34,LOC488622_3,LOC488622,,
full_cohort,M34,PTAFR_3,PTAFR,,
full_cohort,M34,TIMD4_3,TIMD4,,
full_cohort,M34,DAPP1_3,DAPP1,,
full_cohort,M34,VAV1_3,VAV1,,
full_cohort,M34,PTPRO_3,PTPRO,,
full_cohort,M34,PARVG_3,PARVG,,
full_cohort,M34,CASP8_3,CASP8,,
full_cohort,M34,TNFSF8_3,TNFSF8,,
full_cohort,M40,CXCL14_3,CXCL14,,
full_cohort,M38,MTURN_3,MTURN,,
full_cohort,M40,LGR4_3,LGR4,,
full_cohort,M34,IRF5_3,IRF5,,
full_cohort,M34,CLEC12A_3,CLEC12A,,
full_cohort,M34,GIMAP6_3,GIMAP6,,
full_cohort,M34,CSF2RB_3,CSF2RB,,
full_cohort,M34,NFAM1_3,NFAM1,,
full_cohort,M34,MARCHF1_3,MARCHF1,,
full_cohort,M34,RNF213_3,RNF213,,
full_cohort,M34,LCP1_3,LCP1,,
full_cohort,M40,SFRP4_3,SFRP4,,
full_cohort,M34,SP100_3,SP100,,
full_cohort,M34,SLC8A1_3,SLC8A1,,
full_cohort,M34,IL18_3,IL18,,
full_cohort,M34,PSMB8_3,PSMB8,,
full_cohort,M34,TMEM144_3,TMEM144,,
full_cohort,M34,DOK2_3,DOK2,,
full_cohort,M34,MILR1_3,MILR1,,
full_cohort,M34,SERPINB8_3,SERPINB8,,
full_cohort,M34,DOCK8_3,DOCK8,,
full_cohort,M27,LEPR_3,LEPR,,
full_cohort,M40,MXRA5_3,MXRA5,,
full_cohort,M34,IFI44L_3,IFI44L,,
full_cohort,M40,GAREM2_3,GAREM2,,
full_cohort,M40,BARX1_3,BARX1,,
full_cohort,M34,DLA-DRA_3,DLA-DRA,,
full_cohort,M34,TASL_3,TASL,,
full_cohort,M40,TRIB3_3,TRIB3,,
full_cohort,M34,FGR_3,FGR,,
full_cohort,M40,SIM2_3,SIM2,,
full_cohort,M34,ZBP1_3,ZBP1,,
full_cohort,M34,LOC119877400,LOC119877400,,
full_cohort,M34,ARHGAP30_3,ARHGAP30,,
full_cohort,M34,SLC43A2_3,SLC43A2,,
full_cohort,M34,SASH3_3,SASH3,,
full_cohort,M34,CD80_3,CD80,,
full_cohort,M40,ESPL1_3,ESPL1,,
full_cohort,M40,GAS6_3,GAS6,,
full_cohort,M34,SIRPB2_3,SIRPB2,,
full_cohort,M34,HCLS1_3,HCLS1,,
full_cohort,M34,TRIM22_3,TRIM22,,
full_cohort,M34,CD74_3,CD74,,
full_cohort,M34,IGSF6_3,IGSF6,,
full_cohort,M34,HLA-DRB1_3,HLA-DRB1,,
full_cohort,M34,SAMSN1_3,SAMSN1,,
full_cohort,M34,PARP14_3,PARP14,,
full_cohort,M34,MS4A7_3,MS4A7,,
full_cohort,M34,C3AR1_3,C3AR1,,
full_cohort,M40,CRYBG1_3,CRYBG1,,
full_cohort,M34,LOC484897_3,LOC484897,,
full_cohort,M34,DLA-DMB_3,DLA-DMB,,
full_cohort,M34,GLIPR2_3,GLIPR2,,
full_cohort,M34,ADCY7_3,ADCY7,,
full_cohort,M34,FYB1_3,FYB1,,
full_cohort,M27,HK2_3,HK2,,
full_cohort,M34,IFI44_3,IFI44,,
full_cohort,M34,LOC102157159_3,LOC102157159,,
full_cohort,M34,SLCO2B1_3,SLCO2B1,,
full_cohort,M24,RYR2_3,RYR2,,
full_cohort,M34,HAVCR1_3,HAVCR1,,
full_cohort,M34,OAS2_3,OAS2,,
full_cohort,M34,LGALS9_3,LGALS9,,
full_cohort,M34,TLR1_3,TLR1,,
full_cohort,M34,DNASE1L3_3,DNASE1L3,,
full_cohort,M34,TLR8_3,TLR8,,
full_cohort,M40,CALHM5_3,CALHM5,,
full_cohort,M34,LIPA_3,LIPA,,
full_cohort,M40,LOC102155122_3,LOC102155122,,
full_cohort,M34,RTP4_3,RTP4,,
full_cohort,M38,JAZF1_3,JAZF1,,
full_cohort,M34,FCER1G_2,FCER1G,,
full_cohort,M34,TNFAIP8_3,TNFAIP8,,
full_cohort,M34,KCNQ1_3,KCNQ1,,
full_cohort,M40,IFITM5_3,IFITM5,,
full_cohort,M34,CD48_3,CD48,,
full_cohort,M40,LIMS2_3,LIMS2,,
full_cohort,M34,IL1RN_3,IL1RN,,
full_cohort,M34,GYPC_3,GYPC,,
full_cohort,M34,SH3TC1_3,SH3TC1,,
full_cohort,M34,GPR34_3,GPR34,,
full_cohort,M40,DNA2_3,DNA2,,
full_cohort,M34,LOC477699_3,LOC477699,,
full_cohort,M40,STUM_3,STUM,,
full_cohort,M30,ATAD1_3,ATAD1,,
full_cohort,M34,EVI2B_3,EVI2B,,
full_cohort,M25,KCTD12_3,KCTD12,,
full_cohort,M34,CCR2_3,CCR2,,
full_cohort,M34,KBTBD12_3,KBTBD12,,
full_cohort,M20,VGLL2_3,VGLL2,,
full_cohort,M17,ANKRD37_3,ANKRD37,,
full_cohort,M34,JCHAIN_3,JCHAIN,,
full_cohort,M28,STX3_3,STX3,,
full_cohort,M38,LDLRAD4_3,LDLRAD4,,
full_cohort,M24,CHST2_3,CHST2,,
full_cohort,M40,SLC5A6_3,SLC5A6,,
full_cohort,M11,MCAM_3,MCAM,,
full_cohort,M17,P4HA1_3,P4HA1,,
full_cohort,M11,DRD1_3,DRD1,,
full_cohort,M39,FAM81A_3,FAM81A,,
full_cohort,M34,TMEM123_3,TMEM123,,
full_cohort,M28,LOC102152083_3,LOC102152083,,
full_cohort,M38,MAOB_3,MAOB,,
full_cohort,M34,GLUL_3,GLUL,,
full_cohort,M39,CLCN5_3,CLCN5,,
full_cohort,M34,CYSLTR2_3,CYSLTR2,,
full_cohort,M23,SYCE2_3,SYCE2,,
full_cohort,M40,RELN_3,RELN,,
full_cohort,M25,ENC1_3,ENC1,,
full_cohort,M34,GLIPR1_3,GLIPR1,,
full_cohort,M23,LOC475831_3,LOC475831,,
full_cohort,M17,HILPDA_3,HILPDA,,
full_cohort,M34,EPHB3_3,EPHB3,,
full_cohort,M20,SMTNL2_3,SMTNL2,,
full_cohort,M27,ZNF608_3,ZNF608,,
full_cohort,M40,DNAJB1_3,DNAJB1,,
full_cohort,M34,CAPG_3,CAPG,,
full_cohort,M27,LOC119878351,LOC119878351,,
full_cohort,M27,DLG2_3,DLG2,,
full_cohort,M38,LOC119877191,LOC119877191,,
full_cohort,M11,TSPAN15_3,TSPAN15,,
full_cohort,M40,LOC119863969_3,LOC119863969,,
full_cohort,M40,EXO1_3,EXO1,,
full_cohort,M40,LOC102156428_3,LOC102156428,,
full_cohort,M34,LOC119877926,LOC119877926,,
full_cohort,M34,ADGRE3_3,ADGRE3,,
full_cohort,M17,CIRBP_3,CIRBP,,
full_cohort,M34,ATF7IP2_3,ATF7IP2,,
full_cohort,M20,RRAD_3,RRAD,,
full_cohort,M40,MSI1_3,MSI1,,
full_cohort,M20,C32H4orf54_3,C32H4orf54,,
full_cohort,M28,SCRN2_3,SCRN2,,
full_cohort,M40,E2F1_3,E2F1,,
full_cohort,M34,TAPBPL_3,TAPBPL,,
full_cohort,M40,MCM5_3,MCM5,,
full_cohort,M40,SERF1A_3,SERF1A,,
full_cohort,M40,MCM4_3,MCM4,,
full_cohort,M34,KIAA0040_3,KIAA0040,,
full_cohort,M40,SHCBP1_3,SHCBP1,,
full_cohort,M40,LOC487476_3,LOC487476,,
full_cohort,M34,SERPING1_3,SERPING1,,
full_cohort,M40,CENPK_3,CENPK,,
full_cohort,M40,POLE_3,POLE,,
full_cohort,M28,CA5B_3,CA5B,,
full_cohort,M34,IFI30_3,IFI30,,
full_cohort,M24,NR2F1_3,NR2F1,,
full_cohort,M40,E2F7_3,E2F7,,
full_cohort,M34,SRM_3,SRM,,
full_cohort,M40,FAM83D_3,FAM83D,,
full_cohort,M40,MCM2_3,MCM2,,
full_cohort,M40,STMN1_3,STMN1,,
full_cohort,M34,SUSD1_3,SUSD1,,
full_cohort,M34,TRANK1_3,TRANK1,,
full_cohort,M34,SPN_3,SPN,,
full_cohort,M11,STC1_3,STC1,,
full_cohort,M40,SIVA1_3,SIVA1,,
full_cohort,M34,FCMR_3,FCMR,,
full_cohort,M40,TYMS_3,TYMS,,
full_cohort,M38,TMCC3_3,TMCC3,,
full_cohort,M40,REXO5_3,REXO5,,
full_cohort,M40,E2F8_3,E2F8,,
full_cohort,M34,LOC106557828_3,LOC106557828,,
full_cohort,M40,HELLS_3,HELLS,,
full_cohort,M40,RRM2_3,RRM2,,
full_cohort,M25,LOC106559497_3,LOC106559497,,
full_cohort,M34,FAXDC2_3,FAXDC2,,
full_cohort,M34,SYTL1_3,SYTL1,,
full_cohort,M40,ORC1_3,ORC1,,
full_cohort,M40,BIRC5_3,BIRC5,,
full_cohort,M40,KIF22_3,KIF22,,
full_cohort,M40,NCAPG_3,NCAPG,,
full_cohort,M40,TOP2A_3,TOP2A,,
full_cohort,M40,KIF15_3,KIF15,,
full_cohort,M40,FN1_3,FN1,,
full_cohort,M34,APOBR_3,APOBR,,
full_cohort,M34,LOC119879410,LOC119879410,,
full_cohort,M34,CSRP2_3,CSRP2,,
full_cohort,M40,MTFR2_3,MTFR2,,
full_cohort,M40,CDCA7_3,CDCA7,,
full_cohort,M40,CDC20_3,CDC20,,
full_cohort,M40,ST8SIA5_3,ST8SIA5,,
full_cohort,M11,ADAMTS1_3,ADAMTS1,,
full_cohort,M40,ARL4D_3,ARL4D,,
full_cohort,M40,CENPT_3,CENPT,,
full_cohort,M40,SPAG5_3,SPAG5,,
full_cohort,M40,NMRAL1_3,NMRAL1,,
full_cohort,M40,HSP90AA1_3,HSP90AA1,,
full_cohort,M40,CLTCL1_3,CLTCL1,,
full_cohort,M40,CENPI_3,CENPI,,
full_cohort,M34,LAMA3_3,LAMA3,,
full_cohort,M34,ITGAX_3,ITGAX,,
full_cohort,M34,TRIM34_3,TRIM34,,
full_cohort,M40,TK1_3,TK1,,
full_cohort,M40,CCNB2_3,CCNB2,,
full_cohort,M28,LOC111090004_3,LOC111090004,,
full_cohort,M34,RAB29_3,RAB29,,
full_cohort,M34,GBP1_3,GBP1,,
full_cohort,M34,PRKX_3,PRKX,,
full_cohort,M39,PGAP1_3,PGAP1,,
full_cohort,M40,KIF23_3,KIF23,,
full_cohort,M34,MCTP1_3,MCTP1,,
full_cohort,M34,EHD3_3,EHD3,,
full_cohort,M11,IGFBP3_3,IGFBP3,,
full_cohort,M34,SLCO3A1_3,SLCO3A1,,
full_cohort,M40,C1S_3,C1S,,
full_cohort,M40,CLSPN_3,CLSPN,,
