module_label,n_frozen_canine_genes,n_frozen_genes_in_blind_discovery_universe,discovery_universe_coverage_fraction,best_discovered_module_id,best_discovered_module_size,overlap_genes,frozen_gene_recall_within_discovery_universe,discovered_module_precision,best_match_jaccard,best_match_f1,best_module_subsample_stability_median_jaccard,best_module_subsample_stability_q05_jaccard,best_module_fraction_subsamples_jaccard_ge_0_50,random_max_f1_mean,random_max_f1_q95,random_max_jaccard_q95,empirical_max_match_p,empirical_max_match_q_bh_4,blind_rediscovery_class
M34,162,50,0.30864197530864196,60,131,15,0.3,0.11450381679389313,0.09036144578313253,0.16574585635359115,0.764735480161012,0.42839716312056736,0.8,0.06793401424581609,0.0963855421686747,0.05063291139240506,0.0004997501249375312,0.0009995002498750624,strong_blind_independent_rediscovery
M11,7,6,0.8571428571428571,54,11,1,0.16666666666666666,0.09090909090909091,0.0625,0.11764705882352941,0.135632183908046,0.044367588932806325,0.06666666666666667,0.1428583985131425,0.18181818181818182,0.1,0.8150924537731135,0.8150924537731135,no_clear_blind_independent_rediscovery
M24,7,5,0.7142857142857143,21,6,1,0.2,0.16666666666666666,0.1,0.18181818181818182,0.1,0.0625,0.0,0.14122616431768348,0.2,0.1111111111111111,0.21639180409795103,0.2885224054639347,no_clear_blind_independent_rediscovery
M40,111,53,0.4774774774774775,117,93,29,0.5471698113207547,0.3118279569892473,0.24786324786324787,0.3972602739726027,0.6166037735849057,0.5432849936948297,1.0,0.06609300313852347,0.09097902097902091,0.04765745007680488,0.0004997501249375312,0.0009995002498750624,strong_blind_independent_rediscovery
