endpoint,module_label,model,n_module_genes_used,n_disjoint_proliferation_genes_used,disjoint_proliferation_pc1_explained_variance,module_original_proliferation_correlation,module_disjoint_proliferation_correlation,residual_disjoint_post_correlation,residual_disjoint_sd_before_standardization,n,events,coef,hr,p,se,c_index,error,q,module_transfer_qc_tier,transfer_priority_score,fraction_strict_symbol_concordant,fraction_broad_transferable,strict_human_symbols
DFI,M11,module_only,8,251,0.6484792338948262,0.10123328410559211,0.10123328410559211,3.0006027692571794e-17,0.9948627152472831,186,143,0.33438776327833714,1.397084776728134,1.680461601153752e-05,0.07769957422221506,0.6192987668994205,,2.9625078940792195e-05,high_primary_transfer_readiness,10.0,0.875,1.0,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3
DFI,M11,module_plus_original_proliferation,8,251,0.6484792338948262,0.10123328410559211,0.10123328410559211,3.0006027692571794e-17,0.9948627152472831,186,143,0.3298606290302044,1.3907742813954023,5.317860197526649e-05,0.0816244454411983,0.6427722478086466,,0.0003456609128392322,high_primary_transfer_readiness,10.0,0.875,1.0,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3
DFI,M11,module_plus_disjoint_proliferation,8,251,0.6484792338948262,0.10123328410559211,0.10123328410559211,3.0006027692571794e-17,0.9948627152472831,186,143,0.3298606290302044,1.3907742813954023,5.317860197526649e-05,0.0816244454411983,0.6427722478086466,,0.0003456609128392322,high_primary_transfer_readiness,10.0,0.875,1.0,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3
DFI,M11,residual_to_disjoint_proliferation,8,251,0.6484792338948262,0.10123328410559211,0.10123328410559211,3.0006027692571794e-17,0.9948627152472831,186,143,0.30818954802702536,1.3609589315704609,6.341907242088772e-05,0.0770528958620013,0.6103847868073095,,0.00027806286803307487,high_primary_transfer_readiness,10.0,0.875,1.0,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3
DFI,M11,residual_to_disjoint_proliferation_and_weight,8,251,0.6484792338948262,0.10123328410559211,0.10123328410559211,3.0006027692571794e-17,0.9948627152472831,185,142,0.2730582378805597,1.3139767658184534,0.0003023433851540816,0.07557065754197938,0.5981343564281953,,0.0013101546690010202,high_primary_transfer_readiness,10.0,0.875,1.0,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3
OS,M11,module_only,8,251,0.6484792338948262,0.10123328410559211,0.10123328410559211,3.0006027692571794e-17,0.9948627152472831,186,124,0.2251368741891306,1.2524941385795554,0.007405928761241284,0.08406847637006143,0.5759174862077237,,0.008023089491344724,high_primary_transfer_readiness,10.0,0.875,1.0,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3
OS,M11,module_plus_original_proliferation,8,251,0.6484792338948262,0.10123328410559211,0.10123328410559211,3.0006027692571794e-17,0.9948627152472831,186,124,0.2103397392111943,1.23409725997301,0.016578612857473907,0.08779072502723213,0.6058207403853841,,0.019592906104287346,high_primary_transfer_readiness,10.0,0.875,1.0,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3
OS,M11,module_plus_disjoint_proliferation,8,251,0.6484792338948262,0.10123328410559211,0.10123328410559211,3.0006027692571794e-17,0.9948627152472831,186,124,0.2103397392111943,1.23409725997301,0.016578612857473907,0.08779072502723213,0.6058207403853841,,0.019592906104287346,high_primary_transfer_readiness,10.0,0.875,1.0,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3
OS,M11,residual_to_disjoint_proliferation,8,251,0.6484792338948262,0.10123328410559211,0.10123328410559211,3.0006027692571794e-17,0.9948627152472831,186,124,0.2044762983921599,1.226882376416194,0.01451478668259422,0.08365555798103429,0.5689613816262893,,0.01715383880670226,high_primary_transfer_readiness,10.0,0.875,1.0,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3
OS,M11,residual_to_disjoint_proliferation_and_weight,8,251,0.6484792338948262,0.10123328410559211,0.10123328410559211,3.0006027692571794e-17,0.9948627152472831,185,123,0.18713907396397989,1.2057949680754403,0.024355564050584647,0.0831184887240553,0.5593742400907838,,0.02878384842341822,high_primary_transfer_readiness,10.0,0.875,1.0,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3
DFI,M17,module_only,5,251,0.6484792338948262,0.25964049457441846,0.25964049457441857,5.761157316973783e-17,0.965705345111619,186,143,0.3188339611713012,1.3755229157303919,0.00015469585881257308,0.08427164264609763,0.5990194621898678,,0.0001675871803802875,medium_sensitivity_transfer_readiness,5.0,0.4,0.6,P4HA1;CIRBP
DFI,M17,module_plus_original_proliferation,5,251,0.6484792338948262,0.25964049457441846,0.25964049457441857,5.761157316973783e-17,0.965705345111619,186,143,0.2518642502995533,1.2864213941123306,0.0038327683632092004,0.08710182079852233,0.6360867627395632,,0.004529635338338145,medium_sensitivity_transfer_readiness,5.0,0.4,0.6,P4HA1;CIRBP
DFI,M17,module_plus_disjoint_proliferation,5,251,0.6484792338948262,0.25964049457441846,0.25964049457441857,5.761157316973783e-17,0.965705345111619,186,143,0.2518642502995533,1.2864213941123306,0.0038327683632092004,0.08710182079852233,0.6360867627395632,,0.004529635338338145,medium_sensitivity_transfer_readiness,5.0,0.4,0.6,P4HA1;CIRBP
DFI,M17,residual_to_disjoint_proliferation,5,251,0.6484792338948262,0.25964049457441846,0.25964049457441857,5.761157316973783e-17,0.965705345111619,186,143,0.2436463502244792,1.2758930314091026,0.004956926491252362,0.08671245085356606,0.5754716981132075,,0.00644400443862807,medium_sensitivity_transfer_readiness,5.0,0.4,0.6,P4HA1;CIRBP
DFI,M17,residual_to_disjoint_proliferation_and_weight,5,251,0.6484792338948262,0.25964049457441846,0.25964049457441857,5.761157316973783e-17,0.965705345111619,185,142,0.2476908937292932,1.2810638861066383,0.004450916055761486,0.08708326118563987,0.5772963213721508,,0.008265986960699903,medium_sensitivity_transfer_readiness,5.0,0.4,0.6,P4HA1;CIRBP
OS,M17,module_only,5,251,0.6484792338948262,0.25964049457441846,0.25964049457441857,5.761157316973783e-17,0.965705345111619,186,124,0.3527516491489177,1.4229777018233372,9.636421703937366e-05,0.09045914609484576,0.6148556808187415,,0.0003380676664643606,medium_sensitivity_transfer_readiness,5.0,0.4,0.6,P4HA1;CIRBP
OS,M17,module_plus_original_proliferation,5,251,0.6484792338948262,0.25964049457441846,0.25964049457441857,5.761157316973783e-17,0.965705345111619,186,124,0.31162831601261165,1.365647009560538,0.0007175681824741878,0.09212203368194812,0.6375629647397457,,0.003193874411878869,medium_sensitivity_transfer_readiness,5.0,0.4,0.6,P4HA1;CIRBP
OS,M17,module_plus_disjoint_proliferation,5,251,0.6484792338948262,0.25964049457441846,0.25964049457441857,5.761157316973783e-17,0.965705345111619,186,124,0.31162831601261165,1.365647009560538,0.0007175681824741878,0.09212203368194812,0.6375629647397457,,0.002395405808909159,medium_sensitivity_transfer_readiness,5.0,0.4,0.6,P4HA1;CIRBP
OS,M17,residual_to_disjoint_proliferation,5,251,0.6484792338948262,0.25964049457441846,0.25964049457441857,5.761157316973783e-17,0.965705345111619,186,124,0.28939432886213434,1.3356182975445212,0.0016718141122456507,0.0920735499807639,0.5971056208523227,,0.003636219947815298,medium_sensitivity_transfer_readiness,5.0,0.4,0.6,P4HA1;CIRBP
