analysis_set,initial_factors,module_label,n_frozen_genes,n_naturally_selected_module_genes,natural_coverage_fraction,subspace_name,n_subspace_factors,subspace_factors,observed_capture,n_random_valid,random_mean_capture,random_q95_capture,observed_percentile,empirical_p_greater_equal,empirical_q_global,empirical_q_within_subspace
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,shared_two_or_more,9,Factor1;Factor2;Factor3;Factor4;Factor6;Factor7;Factor8;Factor9;Factor10,0.34845991604156484,2000,0.05628335568468974,0.06567091835617751,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,ubiquitous_all_groups,4,Factor1;Factor2;Factor3;Factor7,0.30891951079163515,2000,0.0389238428253006,0.04956497588398751,1.0,0.0004997501249375312,0.000742347272965459,0.0014992503748125937
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,partially_shared,5,Factor4;Factor6;Factor8;Factor9;Factor10,0.03769390685746054,2000,0.021103818563418343,0.03137583671600268,0.992,0.00849575212393803,0.011402193640022092,0.009557721139430285
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,shared_non_ffpe_only,5,Factor4;Factor6;Factor8;Factor9;Factor10,0.03769390685746054,2000,0.021103818563418343,0.03137583671600268,0.992,0.00849575212393803,0.011402193640022092,0.009557721139430285
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,gse39055_shared,4,Factor1;Factor2;Factor3;Factor7,0.30891951079163515,2000,0.0389238428253006,0.04956497588398751,1.0,0.0004997501249375312,0.000742347272965459,0.0014992503748125937
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,all_retained,10,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8;Factor9;Factor10,0.03711882737343157,2000,0.00911524033180325,0.01422680895418358,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,shared_two_or_more,9,Factor1;Factor2;Factor3;Factor4;Factor6;Factor7;Factor8;Factor9;Factor10,0.03507936508787097,2000,0.008520897507913223,0.013596874313414128,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,ubiquitous_all_groups,4,Factor1;Factor2;Factor3;Factor7,0.0057708261279841395,2000,0.004741474040146117,0.008912143849613063,0.715,0.28535732133933034,0.32102698650674666,0.46905118869136864
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,partially_shared,5,Factor4;Factor6;Factor8;Factor9;Factor10,0.028776494934637575,2000,0.003958651531774177,0.008530207361655506,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,shared_non_ffpe_only,5,Factor4;Factor6;Factor8;Factor9;Factor10,0.028776494934637575,2000,0.003958651531774177,0.008530207361655506,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,gse39055_shared,4,Factor1;Factor2;Factor3;Factor7,0.0057708261279841395,2000,0.004741474040146117,0.008912143849613063,0.715,0.28535732133933034,0.32102698650674666,0.46905118869136864
four_cohort_variable_only_1500,12,M40,111,64,0.5765765765765766,all_retained,10,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8;Factor9;Factor10,0.3220956157240501,2000,0.023164834203817146,0.030634534955374094,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
