probe_id,gene_symbol,probe_variance
ILMN_1762337,7A5,0.09080947677617054
ILMN_2055271,A1BG,2.1197665054754258
ILMN_1806310,A1CF,0.18083953283301066
ILMN_1717783,A26C3,1.418313849853755
ILMN_2359168,A2BP1,0.9682785361669102
ILMN_3241953,A2LD1,0.43660455597011194
ILMN_1745607,A2M,1.8088964972379447
ILMN_2136495,A2ML1,0.24638741231329644
ILMN_1668111,A3GALT2,0.10654511252466063
ILMN_1735045,A4GALT,1.7405276941102854
ILMN_1680754,A4GNT,0.4745789422807595
ILMN_1767388,AAA1,1.053001157609751
ILMN_1755321,AAAS,1.4417895252557555
ILMN_1698554,AACS,0.47245583703119526
ILMN_1760414,AADAC,0.3184616338811901
ILMN_2061446,AADACL1,1.1894243350777964
ILMN_1752884,AADACL2,0.0242181312102506
ILMN_1668851,AADACL4,0.06797520146682806
ILMN_2357031,AADAT,1.1116378051774973
ILMN_3237396,AAGAB,2.0226750792332493
ILMN_1688755,AAK1,0.39173432614817183
ILMN_1653165,AAMP,1.1677445696934063
ILMN_1729835,AANAT,0.005071596714029272
ILMN_1662364,AARS,0.6461010555223834
ILMN_1674698,AARS2,1.7918062413964624
ILMN_1700461,AARSD1,1.8323561350474793
ILMN_1784269,AASDH,1.7014605244072412
ILMN_2096191,AASDHPPT,0.19747077596200407
ILMN_1678323,AASS,0.8070576581085168
ILMN_1703743,AATF,3.8229658004410774
ILMN_2068874,AATK,1.6550252038174302
ILMN_2404407,ABAT,0.90147409261425
ILMN_1766054,ABCA1,2.6573136115253804
ILMN_1753388,ABCA10,0.871637137634002
ILMN_2232084,ABCA11,0.05767242195124852
ILMN_2361400,ABCA12,0.5081954221013786
ILMN_1704579,ABCA13,0.13962638180928003
ILMN_1747627,ABCA2,0.40777066786111693
ILMN_1758523,ABCA3,1.7733022605374733
ILMN_1794965,ABCA4,1.478468557836657
ILMN_1784176,ABCA5,0.9614256540942692
ILMN_1795507,ABCA6,1.5028542173521584
ILMN_1743205,ABCA7,0.7655802248675417
ILMN_2129886,ABCA8,2.2258867695330213
ILMN_1668446,ABCA9,0.29383295998607123
ILMN_2094875,ABCB1,0.3128166269666479
ILMN_1665730,ABCB10,0.7232571230799807
ILMN_2232066,ABCB11,0.002512821932489924
ILMN_1767349,ABCB4,0.30464749346258574
ILMN_1658257,ABCB5,0.03366275753357698
ILMN_2193980,ABCB6,0.846367734625962
ILMN_1687840,ABCB7,1.3736107241632616
ILMN_2102422,ABCB8,0.28239797185641136
ILMN_2343048,ABCB9,1.7313966165132324
ILMN_2335302,ABCC1,2.3494823610597257
ILMN_1776119,ABCC10,0.36053149127314194
ILMN_1732140,ABCC11,0.8128159746866694
ILMN_1762093,ABCC12,0.0912513336806867
ILMN_1774344,ABCC13,1.3931978329777073
ILMN_1676278,ABCC2,0.544004521003083
ILMN_1677814,ABCC3,0.7811507957088278
ILMN_2194009,ABCC4,0.5000769184127256
ILMN_2302358,ABCC5,2.195093331689537
ILMN_1801521,ABCC6,1.6548394947408065
ILMN_3246902,ABCC6P1,0.7729512960106185
ILMN_3244070,ABCC6P2,0.4448772754091683
ILMN_1767129,ABCC8,0.38678619972133954
ILMN_1751453,ABCC9,3.196723246499442
ILMN_1772189,ABCD1,2.002936466340719
ILMN_1652959,ABCD2,0.4761705188424919
ILMN_1674032,ABCD3,0.179836979256503
ILMN_1651501,ABCD4,1.2874377178862053
ILMN_1676846,ABCE1,2.304860364394716
ILMN_2392635,ABCF1,1.4729433600375232
ILMN_1781999,ABCF2,1.3973750200286126
ILMN_1810085,ABCF3,0.8769101966391295
ILMN_1658176,ABCG1,1.0387921100867097
ILMN_1789641,ABCG2,0.757112102477662
ILMN_1779470,ABCG4,1.436774468477044
ILMN_1716592,ABCG5,0.40729642047671866
ILMN_1680309,ABCG8,0.40646307207536503
ILMN_1743371,ABHD1,0.03651120056167658
ILMN_1770031,ABHD10,1.645723276365846
ILMN_2338268,ABHD11,0.2897642045752107
ILMN_1745116,ABHD12,2.2476755960715185
ILMN_1698311,ABHD12B,0.5547297016974657
ILMN_2073969,ABHD13,0.348314695404525
ILMN_1794213,ABHD14A,2.895711781882688
ILMN_2227533,ABHD14B,1.025220630404341
ILMN_1769390,ABHD15,2.0260391099270674
ILMN_2403446,ABHD2,0.4872168250426735
ILMN_1801767,ABHD3,0.564308005035836
ILMN_1700633,ABHD4,0.9384816400946041
ILMN_1655702,ABHD5,1.6083169532684936
ILMN_1706344,ABHD6,2.2278550335198712
ILMN_1719498,ABHD7,0.7035724137737829
ILMN_1712707,ABHD8,1.232370173437526
ILMN_1699750,ABHD9,1.148424906142187
ILMN_2329958,ABI1,0.43859352558723264
ILMN_1775944,ABI2,1.2794650886505397
ILMN_1755658,ABI3,1.3647110726272362
ILMN_1673639,ABI3BP,1.0037662207447893
ILMN_1713732,ABL1,1.5454394392738426
ILMN_1657870,ABL2,1.579798109316721
ILMN_1785424,ABLIM1,2.9279396565191664
ILMN_1758825,ABLIM2,0.39266122905041334
ILMN_1656940,ABLIM3,0.7703931831067545
ILMN_1656979,ABO,1.8181944635934795
ILMN_1731433,ABP1,0.31322564866429387
ILMN_1655114,ABR,2.501945190328234
ILMN_1766991,ABRA,0.7560751958960938
ILMN_1658083,ABT1,0.6098201892690693
ILMN_1802096,ABTB1,1.251159474173405
ILMN_1753370,ABTB2,0.03162472431221623
ILMN_1738921,ACAA1,0.6005677996948516
ILMN_1660199,ACAA2,2.489467254247198
ILMN_2331636,ACACA,5.0127190923116265
ILMN_1763852,ACACB,1.4907504953866073
ILMN_1687303,ACAD10,1.2816462093258225
ILMN_1761058,ACAD11,1.7329482679557022
ILMN_2225595,ACAD8,1.143855356748829
ILMN_1775579,ACAD9,2.54069356726008
ILMN_1660890,ACADL,0.06096046516998082
ILMN_1778104,ACADM,2.8120971342659873
ILMN_1795104,ACADS,0.2933442125367361
ILMN_1740920,ACADSB,0.19049058736328447
ILMN_1806408,ACADVL,1.2784782118444236
ILMN_1693148,ACAN,3.9411284428473485
ILMN_1808395,ACAP1,0.2703555090540667
ILMN_3236270,ACAP2,0.9242750173761394
ILMN_1743847,ACAP3,2.9139838168846115
ILMN_1800008,ACAT1,1.5176611227242618
ILMN_1708672,ACAT2,0.943796025417649
ILMN_1665945,ACBD3,1.7820743593621478
ILMN_1676288,ACBD4,0.07901061310520989
ILMN_2410362,ACBD5,0.9011105056007305
ILMN_1684271,ACBD6,0.9602411478856308
ILMN_2106002,ACBD7,3.2806668929197405
ILMN_1779685,ACCN1,1.558024620993107
ILMN_1769694,ACCN2,2.3136858758712053
ILMN_1734479,ACCN3,0.6134650570270856
ILMN_2287535,ACCN4,0.3560088261472807
ILMN_1750295,ACCN5,0.34986389104633875
ILMN_3187680,ACCS,2.0100222105994536
ILMN_1780630,ACCSL,1.253962621364001
ILMN_1716480,ACD,1.3179082404753308
ILMN_1715192,ACE,1.7292664885295386
ILMN_1667018,ACE2,0.346596373047201
ILMN_3241214,ACER1,1.8040505680202605
ILMN_3235340,ACER2,0.2602187059969936
ILMN_3237774,ACER3,0.13980530611638933
ILMN_2333219,ACHE,1.0707068575553222
ILMN_1699636,ACIN1,0.6799654884554784
ILMN_2371379,ACLY,0.6001400658608212
ILMN_1727091,ACMSD,0.006206951969012424
ILMN_2134039,ACN9,1.1962420521728199
ILMN_1750800,ACO1,0.683741766301328
ILMN_1654861,ACO2,0.5058158905270125
ILMN_2121389,ACOT1,2.8333741387789546
ILMN_1739594,ACOT11,2.765552726850258
ILMN_1785474,ACOT12,2.335088633633757
ILMN_1716237,ACOT2,0.5639076264899134
ILMN_1764321,ACOT4,0.34846762740526804
ILMN_2156699,ACOT6,0.03377388985893376
ILMN_1740265,ACOT7,0.9746295197500517
ILMN_1679600,ACOT8,0.5944629116100821
ILMN_2367070,ACOT9,1.104233794377475
ILMN_1668839,ACOX1,0.32747079303859317
ILMN_1685703,ACOX2,1.3287970799724553
ILMN_1743396,ACOX3,0.0016140414466359488
ILMN_1743680,ACOXL,0.6295731955343192
ILMN_2344956,ACP1,2.212180813604472
ILMN_2104830,ACP2,1.5075808925660452
ILMN_2078599,ACP5,2.0164162675813238
ILMN_2234343,ACP6,1.093641688849618
ILMN_2306955,ACPL2,0.47769339003388045
ILMN_1758323,ACPP,0.9132361575177329
ILMN_1728331,ACPT,1.2057441291508164
ILMN_1705637,ACR,3.3460857390879286
ILMN_1784203,ACRBP,1.4401660614795315
ILMN_1666690,ACRC,1.403315793332966
ILMN_2320277,ACRV1,2.6692862773584163
ILMN_2227011,ACSBG1,2.9242991915532275
ILMN_1730002,ACSBG2,1.0746625238901881
ILMN_3236756,ACSF2,0.25719585109849596
ILMN_1716832,ACSF3,1.1562593856564558
ILMN_1684585,ACSL1,0.2868454934098872
ILMN_1666096,ACSL3,1.3986186636432034
ILMN_2391458,ACSL4,0.9221193163252072
ILMN_1705247,ACSL5,3.947237125665481
ILMN_1737418,ACSL6,1.2307608870174984
ILMN_1661434,ACSM1,0.001451916585171
ILMN_1746128,ACSM2B,1.667068388066044
ILMN_1771084,ACSM3,1.512133063277886
ILMN_2070792,ACSM5,0.9594217087774286
ILMN_1752269,ACSS1,0.6994863551892938
ILMN_2336595,ACSS2,1.1623298797209154
ILMN_1659885,ACSS3,0.48246088621806815
ILMN_2125869,ACTA1,6.249770516488919
ILMN_1671703,ACTA2,1.4160080040909397
ILMN_2038777,ACTB,1.326545734950248
