endpoint,random_source,panel_size,n_valid,mean_c_index,std_c_index,median_c_index,q75_c_index,q90_c_index,q95_c_index,max_c_index
DFI,train_screen_top1000,4,500,0.5874531736871348,0.05946338895713538,0.5891940874641058,0.627151051625239,0.6598350626559852,0.6792135070610895,0.7648183556405354
DFI,train_screen_top1000,5,500,0.591488600919703,0.0608302616430498,0.5927342256214149,0.6360967799323964,0.6673040152963671,0.6832426577063679,0.7552581261950286
DFI,train_screen_top1000,6,500,0.595177637486251,0.05874136051743191,0.5910652920962199,0.6312548409185303,0.6730401529636711,0.7036328871892925,0.7592954990215264
DFI,train_screen_top1000,7,500,0.5942572924600891,0.05757025984901531,0.5928426920345221,0.630506173370926,0.6680347786602908,0.6957454318421268,0.7552581261950286
DFI,train_screen_top1000,8,500,0.5966190932486314,0.05618555128513589,0.5958836205522509,0.6347992351816444,0.6673040152963671,0.6845124282982792,0.7609942638623327
DFI,train_screen_top1000,10,500,0.5947382539055704,0.05645234218390436,0.5948179165485776,0.6326530612244898,0.6692160611854685,0.6883365200764818,0.7877629063097514
DFI,train_screen_top1000,12,500,0.5981732690596421,0.05866834409779467,0.5990418583373573,0.6382189239332097,0.6753185184076512,0.6986890699075408,0.739961759082218
DFI,train_screen_top1000,15,500,0.592546503640114,0.055943878883939535,0.5904897450885709,0.6288659793814433,0.6717996289424861,0.6921905460369013,0.7495219885277247
DFI,train_screen_top1000,20,500,0.5942947029842093,0.05708997799932348,0.5952296236053574,0.6321460514724178,0.6692220480219119,0.6883619641313661,0.7667304015296367
DFI,train_screen_top1000,25,500,0.5929871782509584,0.0563293105548102,0.5903978216832377,0.630248787835993,0.6673040152963671,0.684931506849315,0.762906309751434
DFI,train_screen_top500,4,500,0.5939621396592893,0.06359060647597806,0.5979381443298969,0.6360078277886497,0.6692160611854685,0.684931506849315,0.7827788649706457
DFI,train_screen_top500,5,500,0.5925220369941508,0.060469055372992214,0.5964749536178107,0.6342379692650784,0.6673040152963671,0.6927592954990215,0.7534246575342466
DFI,train_screen_top500,6,500,0.5991724594707551,0.06362588440268142,0.6009479757033573,0.6437847866419295,0.6829745596868885,0.7025984741050615,0.7992351816443595
DFI,train_screen_top500,7,500,0.5989208820979788,0.05780406265926714,0.5984703632887189,0.639959844460823,0.6769887223354248,0.6959847036328872,0.7476099426386233
DFI,train_screen_top500,8,500,0.5989187410884352,0.058585276265482336,0.5985980146510338,0.6387613096528749,0.6807212641205149,0.6998477098479717,0.7533460803059273
DFI,train_screen_top500,10,500,0.5967356432749233,0.06072121211366606,0.5974035144350072,0.6408711969556936,0.6792234324778395,0.6967343678087804,0.7705544933078394
DFI,train_screen_top500,12,500,0.5985256342147582,0.05684310907630703,0.5962199312714777,0.637647514488457,0.6749521988527725,0.69477966571002,0.762906309751434
DFI,train_screen_top500,15,500,0.5984902120974638,0.05882020155798657,0.5955473098330241,0.6406248973343058,0.6790606653620352,0.6960191279424366,0.7571701720841301
DFI,train_screen_top500,20,500,0.5944122409721159,0.05921272674608341,0.5949119373776908,0.6358950328022492,0.675146771037182,0.6940726577437859,0.762906309751434
DFI,train_screen_top500,25,500,0.5937392719906227,0.05428784503032369,0.5908221797323135,0.6283515241995683,0.665583173996176,0.6845124282982792,0.7495219885277247
DFI,train_variance_top5000,4,500,0.5598488885110273,0.062366015055312196,0.5617211544669952,0.6047252540332614,0.6368366304587788,0.6559211550513536,0.7299412915851272
DFI,train_variance_top5000,5,500,0.5650233802698245,0.05849313735005136,0.567783841568512,0.604814184342903,0.6360078277886497,0.6530207396923154,0.7189292543021033
DFI,train_variance_top5000,6,500,0.565040238866022,0.06221982078551599,0.5667401301388572,0.6096881648750384,0.6418786692759295,0.6635533500226685,0.7380497131931166
