analysis_set,initial_factors,cohort,pca_components,stacked_pca_r2_percent
four_cohort_variable_only_1500,8,DOG2,8,44.11121576495718
four_cohort_variable_only_1500,8,TARGET_OS,8,34.452565746742735
four_cohort_variable_only_1500,8,GSE21257,8,31.18886105249141
four_cohort_variable_only_1500,8,GSE39055,8,7.208754119046567
four_cohort_variable_only_1500,12,DOG2,12,48.38333332875688
four_cohort_variable_only_1500,12,TARGET_OS,12,39.688743576277
four_cohort_variable_only_1500,12,GSE21257,12,39.98947345485042
four_cohort_variable_only_1500,12,GSE39055,12,22.128893221127242
four_cohort_variable_only_1500,16,DOG2,16,53.32937791679001
four_cohort_variable_only_1500,16,TARGET_OS,16,44.198585982953645
four_cohort_variable_only_1500,16,GSE21257,16,44.62650428685693
four_cohort_variable_only_1500,16,GSE39055,16,23.765617837047536
four_cohort_detection_aware_variable_only_700,8,DOG2,8,45.03635752680047
four_cohort_detection_aware_variable_only_700,8,TARGET_OS,8,36.71018705463002
four_cohort_detection_aware_variable_only_700,8,GSE21257,8,34.651881450301246
four_cohort_detection_aware_variable_only_700,8,GSE39055,8,16.467060336317108
four_cohort_detection_aware_variable_only_700,12,DOG2,12,50.96240728343058
four_cohort_detection_aware_variable_only_700,12,TARGET_OS,12,43.24470377848812
four_cohort_detection_aware_variable_only_700,12,GSE21257,12,43.23615140114173
four_cohort_detection_aware_variable_only_700,12,GSE39055,12,22.284387768270907
four_cohort_detection_aware_variable_only_700,16,DOG2,16,55.26082485595043
four_cohort_detection_aware_variable_only_700,16,TARGET_OS,16,46.37633267548832
four_cohort_detection_aware_variable_only_700,16,GSE21257,16,47.680451972105466
four_cohort_detection_aware_variable_only_700,16,GSE39055,16,31.964067672384523
three_cohort_no_ffpe_variable_only_1500,8,DOG2,8,44.93495620740976
three_cohort_no_ffpe_variable_only_1500,8,TARGET_OS,8,34.674947204744086
three_cohort_no_ffpe_variable_only_1500,8,GSE21257,8,31.537774289486254
three_cohort_no_ffpe_variable_only_1500,12,DOG2,12,50.0380661795603
three_cohort_no_ffpe_variable_only_1500,12,TARGET_OS,12,41.91592614342652
three_cohort_no_ffpe_variable_only_1500,12,GSE21257,12,41.469150849766145
three_cohort_no_ffpe_variable_only_1500,16,DOG2,16,54.96363760025491
three_cohort_no_ffpe_variable_only_1500,16,TARGET_OS,16,45.35069364726163
three_cohort_no_ffpe_variable_only_1500,16,GSE21257,16,46.320648094463024
