gene,gene_symbol_clean,candidate_source,coef_dfi,hr_per_sd_dfi,p_dfi,q_dfi,c_index_dfi,coef_os,hr_per_sd_os,p_os,q_os,c_index_os,same_direction,combined_rank_score,candidate_rank
TLR3_3,TLR3,dfi_top400,-0.3581056796292188,0.698999201126713,1.683257534343163e-05,0.0052601797948223,0.626281384638241,-0.3008310296889298,0.7402028344837476,0.0009773681699675,0.0628988693479283,0.5976653074278404,True,93.0,16
LOC111097086_3,LOC111097086,dfi_top400,-0.3398889820810216,0.7118493464090726,2.1059917752779174e-05,0.0055585881456757,0.6083791412865844,-0.2644998938498966,0.7675897303472977,0.0033608033394698,0.0831254648485066,0.5922283521228112,True,219.0,17
ADGRF1_3,ADGRF1,dfi_top400,-0.4072299085507459,0.6654911706013593,2.1132206717547143e-05,0.0055585881456757,0.6309983657703164,-0.3579072445309686,0.6991379208648426,0.000576924127223,0.0514285554615664,0.6206524346366035,True,73.0,18
LOC476816_3,LOC476816,dfi_top400,-0.3388201818057778,0.7126105779162039,2.179731129462139e-05,0.0055585881456757,0.5979794978457882,-0.3042464546046974,0.7376790396493749,0.0003472276016276,0.0469226488686073,0.598544814903654,True,56.0,19
EVI2B_3,EVI2B,dfi_top400,-0.3612108186207602,0.6968320778030671,2.363433645997129e-05,0.0055585881456757,0.6300698261773882,-0.3777668882497139,0.6853902545667623,5.98323583583695e-05,0.0293538156944,0.6344447109618614,True,30.0,20
RCOR2_3,RCOR2,dfi_top400,0.3898458612678512,1.4767531514803718,2.3747621522431464e-05,0.0055585881456757,0.601099390878027,0.322405162743352,1.3804439671326487,0.0008175391198274,0.0601131705755441,0.6060606060606061,True,89.0,21
NIBAN1_3,NIBAN1,dfi_top400,-0.364941136392291,0.6942375150000021,2.4612324688880648e-05,0.0055585881456757,0.6189273510622493,-0.4133358192547567,0.6614401211982928,1.1810928485304733e-05,0.0293538156944,0.6314064124090509,True,24.0,22
ALOX5_3,ALOX5,dfi_top400,-0.360188798297179,0.6975446184021697,2.5569505470108588e-05,0.0055585881456757,0.6130589808349428,-0.3669610917335687,0.6928366015910601,7.244639586644178e-05,0.030185998277684,0.6200527704485488,True,35.0,23
POLE2_3,POLE2,dfi_top400,0.3579199347434338,1.4303510944678235,2.867395198259185e-05,0.0059737399963733,0.607116327440202,0.2783917388937124,1.3210035843448682,0.0017193673393411,0.0687746935736468,0.5884704565443352,True,149.0,24
CENPV_3,CENPV,dfi_top400,0.3489908112138887,1.417636163926644,3.0282858950511936e-05,0.0060565717901023,0.6216015450898826,0.2732061885789545,1.3141711839804275,0.0017476509828192,0.0690536748897905,0.6068601583113457,True,151.0,25
ENPP5_3,ENPP5,dfi_top400,-0.3241143148640977,0.7231675688521727,3.305218962487306e-05,0.0062457063946074,0.6227157926013965,-0.2707374369423305,0.7628167576136378,0.0017047107493129,0.0687746935736468,0.6115775165907092,True,149.0,26
MCM10_3,MCM10,dfi_top400,0.3863456874876802,1.471593294286082,3.3726814530880084e-05,0.0062457063946074,0.6173674045461298,0.2788304003657321,1.3215831848366286,0.0029236238942888,0.0811208319080179,0.5975053969776924,True,207.0,27
KCTD12_3,KCTD12,dfi_top400,-0.3410358640538397,0.7110334072087299,3.536470508081979e-05,0.0063151259072892,0.6140246620115882,-0.3691635739958113,0.6913123204826568,4.892057100975883e-05,0.0293538156944,0.6134164867674102,True,34.0,28
SUGCT_3,SUGCT,dfi_top400,-0.3746043811860273,0.6875612371526788,3.698047841190259e-05,0.0063759445537763,0.6139503788441539,-0.3341107918873027,0.7159744536718267,0.0005649839712628,0.0514285554615664,0.6190933077476614,True,80.0,29
LOC100855995_3,LOC100855995,dfi_top400,0.3706251508574029,1.4486399501551177,4.347911414605888e-05,0.0067446788096494,0.603922151240529,0.2916638768892461,1.3386529898039998,0.0022086723407387,0.0756453002193586,0.5894299192452227,True,172.0,30
PRRT4_3,PRRT4,dfi_top400,0.3131375960972917,1.3677097095992587,4.422759182299675e-05,0.0067446788096494,0.5993165948596049,0.1595833258145191,1.1730220011622787,0.0461082507348368,0.2280328918636838,0.5573678739905653,True,1042.0,31
HACD4_3,HACD4,dfi_top400,-0.34337756317258,0.7093703288801675,4.79715187573363e-05,0.0067446788096494,0.6177388203833012,-0.3261694069161598,0.7216829189976964,0.0002755145359464,0.0452767743391759,0.6240505317022468,True,61.0,32
HHIP_3,HHIP,dfi_top400,0.337392038961059,1.4012883156828442,4.851151822398204e-05,0.0067446788096494,0.5898826325954538,0.1481906209825194,1.1597339449180997,0.087975510409876,0.3196393022848691,0.5483329335572079,True,1409.0,33
SCRN2_3,SCRN2,dfi_top400,-0.3523238017274716,0.7030524355225715,4.985275987374415e-05,0.0067446788096494,0.6236071906106077,-0.2442792538745526,0.783268872851738,0.0079805548994533,0.1042788440495753,0.592468217798033,True,416.0,34
TLR7_3,TLR7,dfi_top400,-0.3345117002607499,0.7156874710488874,4.998628512358896e-05,0.0067446788096494,0.6138018125092854,-0.3621872556285528,0.6961519972560244,4.989356970722057e-05,0.0293538156944,0.6260494123290957,True,42.0,35
FANCA_3,FANCA,dfi_top400,0.333233671194699,1.39547334229786,5.221351891999512e-05,0.0067446788096494,0.6088991234586243,0.2625196413009787,1.300202005576621,0.0021974147605487,0.0756453002193586,0.5853522027664508,True,176.0,36
ST6GALNAC3_3,ST6GALNAC3,dfi_top400,0.3536683284737238,1.424282714109766,5.319205702972071e-05,0.0067446788096494,0.5969395335017085,0.2659741496061767,1.304701331207762,0.0041606599140357,0.0842142486875269,0.5723994563044695,True,280.0,37
CD8B_3,CD8B,dfi_top400,-0.3760832074623874,0.6865452049812728,5.340876463919157e-05,0.0067446788096494,0.6027336205615808,-0.2528786322864765,0.7765621256741438,0.0073486097345413,0.1003908433680506,0.5601663068681538,True,404.0,38
CENPW_3,CENPW,dfi_top400,0.3550727481177007,1.4262844100135517,5.37444869882004e-05,0.0067446788096494,0.5839399792007132,0.3292118031347343,1.389872203704208,0.000579140415396,0.0514285554615664,0.5871911729431518,True,95.0,39
DNPH1_3,DNPH1,dfi_top400,0.3245940113598941,1.3834688593081448,5.395743047719559e-05,0.0067446788096494,0.5964938344971029,0.2799216366410405,1.323026131503445,0.0013071653895557,0.0634546305609596,0.5802350683617175,True,143.0,40
ACSS3_3,ACSS3,dfi_top400,-0.3420835611236534,0.710288849694927,5.799392589292583e-05,0.006847379738824,0.5981280641806567,-0.3173179703775553,0.7280992043356063,0.0005155936318855,0.0514285554615664,0.6050211881346446,True,88.0,41
