factor,view,group,r2
Factor1,RNA,DOG2,14.383584260940552
Factor2,RNA,DOG2,8.806103467941284
Factor3,RNA,DOG2,7.938802242279053
Factor4,RNA,DOG2,6.448876857757568
Factor5,RNA,DOG2,4.20653223991394
Factor6,RNA,DOG2,3.00176739692688
Factor7,RNA,DOG2,2.953040599822998
Factor8,RNA,DOG2,4.453372955322266
Factor9,RNA,DOG2,1.7935097217559814
Factor10,RNA,DOG2,1.4213144779205322
Factor1,RNA,GSE21257,11.544674634933472
Factor2,RNA,GSE21257,8.600825071334839
Factor3,RNA,GSE21257,2.951592206954956
Factor4,RNA,GSE21257,2.560800313949585
Factor5,RNA,GSE21257,2.5729775428771973
Factor6,RNA,GSE21257,3.3316493034362793
Factor7,RNA,GSE21257,2.661311626434326
Factor8,RNA,GSE21257,1.0119318962097168
Factor9,RNA,GSE21257,2.219533920288086
Factor10,RNA,GSE21257,0.6016969680786133
Factor1,RNA,TARGET_OS,11.08943223953247
Factor2,RNA,TARGET_OS,9.15476679801941
Factor3,RNA,TARGET_OS,4.0174901485443115
Factor4,RNA,TARGET_OS,1.9277691841125488
Factor5,RNA,TARGET_OS,3.0215859413146973
Factor6,RNA,TARGET_OS,2.9610753059387207
Factor7,RNA,TARGET_OS,2.856796979904175
Factor8,RNA,TARGET_OS,2.6603758335113525
Factor9,RNA,TARGET_OS,2.3512721061706543
Factor10,RNA,TARGET_OS,1.267242431640625
