analysis_set,initial_factors,factor,activity_threshold_percent,active_group_count,active_groups,activity_class,minimum_group_r2,maximum_group_r2,mean_group_r2,median_group_r2,r2_range,r2_DOG2,r2_TARGET_OS,r2_GSE21257
three_cohort_no_ffpe,16,Factor1,0.5,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,11.08943223953247,14.383584260940552,12.339230378468832,11.544674634933472,3.294152021408081,14.383584260940552,11.08943223953247,11.544674634933472
three_cohort_no_ffpe,16,Factor10,0.5,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,0.6016969680786133,1.4213144779205322,1.09675129254659,1.267242431640625,0.819617509841919,1.4213144779205322,1.267242431640625,0.6016969680786133
three_cohort_no_ffpe,16,Factor2,0.5,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,8.600825071334839,9.15476679801941,8.853898445765177,8.806103467941284,0.5539417266845703,8.806103467941284,9.15476679801941,8.600825071334839
three_cohort_no_ffpe,16,Factor3,0.5,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.951592206954956,7.938802242279053,4.9692948659261065,4.0174901485443115,4.987210035324097,7.938802242279053,4.0174901485443115,2.951592206954956
three_cohort_no_ffpe,16,Factor4,0.5,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,1.9277691841125488,6.448876857757568,3.645815451939901,2.560800313949585,4.5211076736450195,6.448876857757568,1.9277691841125488,2.560800313949585
three_cohort_no_ffpe,16,Factor5,0.5,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.5729775428771973,4.20653223991394,3.2670319080352783,3.0215859413146973,1.6335546970367432,4.20653223991394,3.0215859413146973,2.5729775428771973
three_cohort_no_ffpe,16,Factor6,0.5,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.9610753059387207,3.3316493034362793,3.0981640021006265,3.00176739692688,0.3705739974975586,3.00176739692688,2.9610753059387207,3.3316493034362793
three_cohort_no_ffpe,16,Factor7,0.5,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.661311626434326,2.953040599822998,2.823716402053833,2.856796979904175,0.2917289733886719,2.953040599822998,2.856796979904175,2.661311626434326
three_cohort_no_ffpe,16,Factor8,0.5,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,1.0119318962097168,4.453372955322266,2.7085602283477783,2.6603758335113525,3.441441059112549,4.453372955322266,2.6603758335113525,1.0119318962097168
three_cohort_no_ffpe,16,Factor9,0.5,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,1.7935097217559814,2.3512721061706543,2.1214385827382407,2.219533920288086,0.5577623844146729,1.7935097217559814,2.3512721061706543,2.219533920288086
three_cohort_no_ffpe,16,Factor1,1.0,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,11.08943223953247,14.383584260940552,12.339230378468832,11.544674634933472,3.294152021408081,14.383584260940552,11.08943223953247,11.544674634933472
three_cohort_no_ffpe,16,Factor10,1.0,2,DOG2;TARGET_OS,partially_shared,0.6016969680786133,1.4213144779205322,1.09675129254659,1.267242431640625,0.819617509841919,1.4213144779205322,1.267242431640625,0.6016969680786133
three_cohort_no_ffpe,16,Factor2,1.0,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,8.600825071334839,9.15476679801941,8.853898445765177,8.806103467941284,0.5539417266845703,8.806103467941284,9.15476679801941,8.600825071334839
three_cohort_no_ffpe,16,Factor3,1.0,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.951592206954956,7.938802242279053,4.9692948659261065,4.0174901485443115,4.987210035324097,7.938802242279053,4.0174901485443115,2.951592206954956
three_cohort_no_ffpe,16,Factor4,1.0,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,1.9277691841125488,6.448876857757568,3.645815451939901,2.560800313949585,4.5211076736450195,6.448876857757568,1.9277691841125488,2.560800313949585
three_cohort_no_ffpe,16,Factor5,1.0,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.5729775428771973,4.20653223991394,3.2670319080352783,3.0215859413146973,1.6335546970367432,4.20653223991394,3.0215859413146973,2.5729775428771973
three_cohort_no_ffpe,16,Factor6,1.0,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.9610753059387207,3.3316493034362793,3.0981640021006265,3.00176739692688,0.3705739974975586,3.00176739692688,2.9610753059387207,3.3316493034362793
three_cohort_no_ffpe,16,Factor7,1.0,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.661311626434326,2.953040599822998,2.823716402053833,2.856796979904175,0.2917289733886719,2.953040599822998,2.856796979904175,2.661311626434326
three_cohort_no_ffpe,16,Factor8,1.0,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,1.0119318962097168,4.453372955322266,2.7085602283477783,2.6603758335113525,3.441441059112549,4.453372955322266,2.6603758335113525,1.0119318962097168
three_cohort_no_ffpe,16,Factor9,1.0,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,1.7935097217559814,2.3512721061706543,2.1214385827382407,2.219533920288086,0.5577623844146729,1.7935097217559814,2.3512721061706543,2.219533920288086
three_cohort_no_ffpe,16,Factor1,2.0,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,11.08943223953247,14.383584260940552,12.339230378468832,11.544674634933472,3.294152021408081,14.383584260940552,11.08943223953247,11.544674634933472
three_cohort_no_ffpe,16,Factor10,2.0,0,,inactive,0.6016969680786133,1.4213144779205322,1.09675129254659,1.267242431640625,0.819617509841919,1.4213144779205322,1.267242431640625,0.6016969680786133
three_cohort_no_ffpe,16,Factor2,2.0,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,8.600825071334839,9.15476679801941,8.853898445765177,8.806103467941284,0.5539417266845703,8.806103467941284,9.15476679801941,8.600825071334839
three_cohort_no_ffpe,16,Factor3,2.0,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.951592206954956,7.938802242279053,4.9692948659261065,4.0174901485443115,4.987210035324097,7.938802242279053,4.0174901485443115,2.951592206954956
three_cohort_no_ffpe,16,Factor4,2.0,2,DOG2;GSE21257,partially_shared,1.9277691841125488,6.448876857757568,3.645815451939901,2.560800313949585,4.5211076736450195,6.448876857757568,1.9277691841125488,2.560800313949585
three_cohort_no_ffpe,16,Factor5,2.0,3,DOG2;TARGET_OS;GSE21257,ubiquitous_shared,2.5729775428771973,4.20653223991394,3.2670319080352783,3.0215859413146973,1.6335546970367432,4.20653223991394,3.0215859413146973,2.5729775428771973
