factor,view,group,r2
Factor1,RNA,DOG2,13.961011171340942
Factor2,RNA,DOG2,7.964211702346802
Factor3,RNA,DOG2,7.7571868896484375
Factor4,RNA,DOG2,4.737269878387451
Factor5,RNA,DOG2,4.58451509475708
Factor6,RNA,DOG2,4.449653625488281
Factor7,RNA,DOG2,5.776965618133545
Factor8,RNA,DOG2,3.2435834407806396
Factor9,RNA,DOG2,2.0468711853027344
Factor1,RNA,GSE21257,11.238884925842285
Factor2,RNA,GSE21257,9.321647882461548
Factor3,RNA,GSE21257,2.9479622840881348
Factor4,RNA,GSE21257,4.029983282089233
Factor5,RNA,GSE21257,2.744847536087036
Factor6,RNA,GSE21257,1.6742944717407227
Factor7,RNA,GSE21257,0.6202757358551025
Factor8,RNA,GSE21257,2.3154795169830322
Factor9,RNA,GSE21257,2.3012876510620117
Factor1,RNA,TARGET_OS,10.790050029754639
Factor2,RNA,TARGET_OS,10.020619630813599
Factor3,RNA,TARGET_OS,3.8432717323303223
Factor4,RNA,TARGET_OS,3.6136209964752197
Factor5,RNA,TARGET_OS,3.3000290393829346
Factor6,RNA,TARGET_OS,3.0365347862243652
Factor7,RNA,TARGET_OS,1.2388348579406738
Factor8,RNA,TARGET_OS,2.0550131797790527
Factor9,RNA,TARGET_OS,1.9768834114074707
