factor,view,group,r2
Factor1,RNA,DOG2,12.833940982818604
Factor2,RNA,DOG2,9.874653816223145
Factor3,RNA,DOG2,5.908769369125366
Factor4,RNA,DOG2,2.0276904106140137
Factor5,RNA,DOG2,4.996216297149658
Factor6,RNA,DOG2,0.21718740463256836
Factor7,RNA,DOG2,3.2569587230682373
Factor8,RNA,DOG2,3.6967217922210693
Factor9,RNA,DOG2,3.330516815185547
Factor10,RNA,DOG2,1.8626034259796143
Factor11,RNA,DOG2,1.7659366130828857
Factor12,RNA,DOG2,1.807558536529541
Factor13,RNA,DOG2,1.3277232646942139
Factor1,RNA,GSE21257,9.886658191680908
Factor2,RNA,GSE21257,4.91594672203064
Factor3,RNA,GSE21257,2.059817314147949
Factor4,RNA,GSE21257,4.337882995605469
Factor5,RNA,GSE21257,2.028244733810425
Factor6,RNA,GSE21257,8.614522218704224
Factor7,RNA,GSE21257,1.7029643058776855
Factor8,RNA,GSE21257,1.5024662017822266
Factor9,RNA,GSE21257,1.4259636402130127
Factor10,RNA,GSE21257,2.2712111473083496
Factor11,RNA,GSE21257,0.91286301612854
Factor12,RNA,GSE21257,0.9649455547332764
Factor13,RNA,GSE21257,0.8541285991668701
Factor1,RNA,TARGET_OS,8.420413732528687
Factor2,RNA,TARGET_OS,5.803012847900391
Factor3,RNA,TARGET_OS,5.060559511184692
Factor4,RNA,TARGET_OS,5.029177665710449
Factor5,RNA,TARGET_OS,3.730231523513794
Factor6,RNA,TARGET_OS,0.25989413261413574
Factor7,RNA,TARGET_OS,1.97906494140625
Factor8,RNA,TARGET_OS,1.4496266841888428
Factor9,RNA,TARGET_OS,1.855534315109253
Factor10,RNA,TARGET_OS,2.4527788162231445
Factor11,RNA,TARGET_OS,1.8481016159057617
Factor12,RNA,TARGET_OS,0.9219944477081299
Factor13,RNA,TARGET_OS,1.0717570781707764
