factor,view,group,r2
Factor1,RNA,DOG2,11.182379722595215
Factor2,RNA,DOG2,9.26513671875
Factor3,RNA,DOG2,6.284797191619873
Factor4,RNA,DOG2,5.73309063911438
Factor5,RNA,DOG2,3.2295703887939453
Factor6,RNA,DOG2,5.3060829639434814
Factor7,RNA,DOG2,3.7552237510681152
Factor1,RNA,GSE21257,9.301900863647461
Factor2,RNA,GSE21257,5.709725618362427
Factor3,RNA,GSE21257,2.474486827850342
Factor4,RNA,GSE21257,2.5453150272369385
Factor5,RNA,GSE21257,3.245675563812256
Factor6,RNA,GSE21257,1.6950726509094238
Factor7,RNA,GSE21257,1.0127127170562744
Factor1,RNA,TARGET_OS,8.467894792556763
Factor2,RNA,TARGET_OS,6.6644251346588135
Factor3,RNA,TARGET_OS,4.7084033489227295
Factor4,RNA,TARGET_OS,3.796970844268799
Factor5,RNA,TARGET_OS,3.8544058799743652
Factor6,RNA,TARGET_OS,2.256476879119873
Factor7,RNA,TARGET_OS,1.5621066093444824
