,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
FGFR3,-0.16880392,-0.007897048,0.07595628,0.11462742,0.029311044,0.023811536,0.027374316,-0.26871666,-0.10648538,0.18981706,-0.079048924,-0.104493976,-0.019024719
PI15,0.049325537,0.24391209,0.06682293,0.0039077695,0.017179323,0.05889785,-0.036778837,-0.072335884,0.11584279,-0.0018794851,0.028332831,-0.1984587,0.013934529
NGEF,-0.100620806,0.07734987,0.11981104,0.15129453,-0.09542074,0.018652111,-0.057879794,-0.033973318,-0.0059065353,0.24765587,0.23448513,0.05555211,0.31720608
ACTA2,0.09402051,0.12846865,0.08109917,-0.18447116,-0.004803685,0.021062344,0.088650726,0.046863876,0.013617779,-0.1314194,0.012520714,-0.22465318,0.019340925
CCDC3,0.010436444,-0.061965086,0.18867522,0.25645164,-0.07240422,-0.0038836955,-0.00018897175,0.10254516,0.022665406,0.08727829,0.14179355,-0.1726242,0.0034565341
C1QB,0.2842062,-0.006183068,-0.008503569,0.010426759,-0.043317374,-0.00050083577,0.0039234306,-0.04534636,-0.30158535,0.12781213,-0.01562749,-0.01691102,-0.0017736546
SOST,-0.073172756,-0.14264117,0.07560763,0.32385808,-0.0030627383,0.024854416,0.0008408663,-0.2774798,-0.0071976753,0.1860813,0.01058938,-0.07411125,-0.08760855
COL3A1,-0.006141065,0.3158654,0.047454163,-0.22758533,0.024019424,0.13763936,0.018942486,-0.14430219,0.14617275,0.14250672,-0.023289248,0.0025421046,-0.0022519233
GREM1,0.07230791,0.11289065,0.07409156,-0.12977129,0.005632918,0.022902457,-0.09979189,0.009989457,0.09821814,-0.012521052,0.16131264,0.027672958,-0.12852742
SERPINA1,0.25436163,0.028909825,-0.12747435,-0.018864812,0.027760962,0.0030937109,-0.010081868,-0.0059892796,-0.1576038,0.09705729,0.26321584,0.09531073,-0.271029
C1QA,0.29682413,-0.021651696,-0.020751094,0.011186422,-0.050278362,-0.007588092,0.017920967,-0.05960876,-0.30960914,0.13313892,-0.024624549,-0.003498587,-0.0031161935
LRRN3,-0.062455337,0.0825023,0.080590196,0.03367091,0.0853972,0.090573154,-0.025878448,-0.2988997,-0.0036488427,0.0031959936,-0.098288655,-0.11550266,-0.17419812
ANGPTL2,-0.021399152,0.31366074,-0.0014476134,-0.19305728,0.063603945,-0.055964176,0.004744276,-0.17887966,0.02405377,0.13386986,0.0221214,0.039168082,-0.008294151
C1QC,0.2934316,-0.011678415,-0.014858157,-0.0043149646,-0.017955784,-0.0042653475,0.010083769,-0.063173,-0.31252187,0.14322864,-0.0071352865,-0.00834341,-0.0041275215
THBS4,0.06626563,0.18304336,0.086568885,0.1517057,0.013314708,-0.03483436,0.034575872,-0.08761297,0.109811276,-0.07724116,0.028636165,-0.2806259,0.010295062
MME,0.070882656,0.0047388286,0.096192405,-0.21281075,0.03978903,0.010183135,-0.007552222,-0.0098441895,0.0028638144,-0.11548836,-0.0058834422,-0.08540768,-0.18237881
ISLR,-0.011187178,0.14595807,0.10916478,-0.06882574,-0.0051564723,-0.0011056564,0.009530949,-0.28346413,-0.08118958,-0.16295771,-0.0027332183,0.08295469,-0.047593947
TNFAIP6,0.07370275,0.23669319,0.02514571,-0.03994926,0.008482966,0.0040692114,-0.008612861,-0.08611845,0.09585686,0.11753448,0.18237244,-0.028518938,-0.17614093
CRISPLD2,-0.017220693,0.2774745,-0.004185841,-0.20929368,0.029775234,-0.0817435,0.07009677,-0.2219606,0.049150255,0.1298368,0.020643974,0.0042698723,-0.09702494
PODN,0.059080053,0.31754947,0.054805174,-0.09102168,-0.008156637,-0.07532499,-0.006187044,-0.15860547,0.06196797,0.03209987,0.064017646,-0.16198657,0.023866551
GFPT2,0.019401092,0.23889558,0.06353222,-0.20296608,0.002510723,-0.10912877,-0.018150516,-0.037672453,0.027813535,-0.041462213,0.12691683,-0.053741388,0.017738562
LRRC15,-0.0041900203,0.003921251,0.17289941,-0.22175977,-0.0062219407,-0.0346524,-0.11796737,-0.010794017,0.053933453,0.16834745,0.17302701,0.020745143,-0.035564333
APCDD1,-0.07491341,-0.095759034,0.036774557,0.22659203,0.10898384,0.0017528019,0.043280642,-0.27137902,0.045179836,0.22683999,0.0069087725,0.083397634,-0.1179537
DPT,-0.0011467218,0.033564568,0.15070882,-0.24369457,-0.04949073,-0.10651155,-0.028987946,0.098512985,0.05642684,0.29884467,0.08754439,-0.2018523,0.057873864
CAP2,0.035758067,0.19430338,0.05493237,0.20395955,0.011063156,0.0064148773,0.00448711,-0.034546487,-0.087304555,-0.1835011,-0.0048133912,-0.22463761,-0.057968598
FLRT3,-0.038408402,0.06811541,0.03862278,-0.20376322,0.14524688,0.08749577,0.030645799,-0.32963127,-0.017865047,-0.08189427,-0.02914554,-0.21963923,-0.1501984
CD84,0.15218252,-0.24360548,0.09375452,-0.10171667,-0.000616361,-0.09560557,-0.14598887,-0.17610449,0.32004282,-0.074258834,-0.055770304,0.029273836,0.010454568
FST,0.023016315,0.0012946897,0.22012642,-0.07987702,-0.09408105,-0.011728892,-0.006248458,0.020142073,-0.19958225,-0.12913205,0.0855483,-0.08930952,0.067257255
ENO2,-0.023664648,0.10202619,0.0206498,0.0884296,0.02732399,-0.08645187,-0.13134839,-0.040126428,-0.07056281,-0.19059195,0.26539007,0.11818394,0.0735805
C1S,0.12834764,0.15369998,0.19237271,-0.11608257,-0.10868038,-0.118600786,-0.0058045974,0.0052498,-0.06716777,-0.02616907,0.107609995,-0.040691674,0.2668156
GJB2,0.0811358,0.018100696,0.036674045,-0.15627998,0.052052192,0.094075345,-0.15564635,-0.13052513,0.053155933,-0.12869054,0.17381236,-0.024613038,0.021641837
FBLN2,0.07353982,0.24826902,0.0733634,0.078971945,-0.0021490601,0.0022038592,0.041439284,-0.034038913,0.11434681,0.11352562,0.05444275,-0.06596135,0.15833305
KLK4,0.0021590553,-0.18029274,0.10960327,-0.061264113,-0.017595425,-0.010224787,0.013499939,0.02549334,0.09411249,0.24905731,0.030150916,-0.17668578,-0.013274403
CRYAB,-0.0309137,-0.09574092,0.076868534,0.14451438,-0.045247823,-0.0042652567,-0.08975114,-0.023288315,0.20504384,-0.07545033,0.266558,-0.22224553,0.18398057
IGSF10,-0.05564919,0.2109679,0.041605223,-0.21584307,0.08297975,0.0005234843,-0.0395165,-0.2109076,-0.07927957,0.06685172,-0.12915812,0.005936006,0.013713742
TNFRSF11B,-0.07671538,0.09062956,0.055154443,0.10855348,0.032648485,-0.028666005,0.0048708986,-0.15175518,-0.13181153,0.18214421,0.21044114,-0.008193076,-0.041961264
CD74,0.30683526,0.028869154,0.00076863717,0.008829163,-0.038587477,0.0041486523,0.026061097,-0.0014864696,-0.27430382,0.1334179,0.012404214,0.081634894,0.040675282
RAC3,-0.08388934,0.103490405,-0.021990776,0.04476012,-0.0067736837,-0.02750167,-0.07483818,-0.24643803,-0.043489236,0.0015441176,-0.01796226,-0.15474123,0.109116524
FRZB,-0.048828755,0.1291264,0.08714959,0.26489902,-0.00596933,0.008804738,0.016444141,-0.013564377,-0.091906644,0.043140322,0.06922377,-0.0007058465,-0.053059045
COL13A1,-0.124065615,-0.19323023,0.18038799,0.10341469,0.0021653369,0.0013422379,0.072017,-0.10199458,-0.041805662,0.22996017,0.021835798,0.025040492,0.00031782003
SLC38A5,0.0077198744,0.16270489,-0.06348844,0.031859398,0.038834427,-0.05815165,-0.09590546,0.08972416,0.095168315,0.0829831,0.17926025,0.08201066,0.007720196
HS3ST3A1,-0.02114009,0.08657766,0.027004689,-0.02760043,0.10713517,-0.016058417,-0.0009074714,-0.24600387,-0.08012952,-0.1587091,-0.0057916795,0.15433681,-0.004897957
CYP1B1,0.07750674,-0.02538941,0.2988892,-0.038714867,-0.03559547,0.10615842,-0.0015097085,0.13384219,0.09724898,0.0040000957,0.052818157,-0.18776332,0.0055391863
ENPP2,0.016529363,-0.15786971,0.19776236,-0.09688936,0.013742913,-0.0046148603,0.013365332,-0.11477326,-0.053015023,0.13201118,0.18878831,0.08995269,0.014544728
DLX3,-0.10174303,-0.27533686,0.14891416,0.20266473,0.051632736,0.008274015,0.047450658,-0.023563046,-0.015427673,0.19819012,0.019724509,-0.02515294,0.054112043
SEMA3B,-0.0695778,0.11320234,0.045423612,0.23952226,-0.015332311,0.13079073,-0.065095015,-0.25333518,0.107958905,0.29774585,0.03468377,0.003686131,0.08929287
CLIC6,0.04306309,-0.046762988,0.0672866,0.06653545,0.009579382,-0.07973571,-0.05749397,-0.16011794,0.1450207,-0.022953866,0.18133825,0.019256696,-0.14454807
MGST1,0.1589569,0.032733392,-0.0648482,0.12273718,0.0685225,-0.003011637,-0.052750185,0.008948999,-0.15164939,-0.033166308,-0.0010417379,-0.2879273,-0.1169667
TGM2,0.23182672,-0.014993758,-0.008844743,0.096351445,0.010079741,-0.0346264,0.09432471,0.015325083,0.035515904,-0.01339298,0.13676324,0.019231169,0.020413691
AMPH,-0.016386185,0.17250133,0.096361674,-0.068427235,0.054928996,-0.07753308,-0.035580132,-0.057378273,-0.023080403,-0.17053165,0.03722325,0.15704241,-0.024885701
C1R,0.09285027,0.06285159,0.22060508,-0.21581294,-0.10833742,-0.14151561,-0.0024639703,0.051349733,-0.10742255,-0.005688964,0.15601096,-0.06623213,0.25553885
F13A1,0.108692974,0.0016533323,0.117685944,-0.118102774,-0.041703437,0.0025926777,-0.0010089034,-0.014580871,-0.16009292,0.04630667,-0.072146274,-0.0297448,-0.09241903
MXRA5,0.055859867,0.20753685,0.16130905,-0.2774412,-0.0060410574,0.005426917,-0.045379892,0.068484,0.019635,0.084676154,0.071170755,0.036003716,0.057254914
SFRP1,0.020597769,0.14388609,0.13133378,0.14320982,-0.009010193,-0.013829098,0.038381763,-0.24747854,-0.054716352,-0.09904138,0.014301707,0.16588514,-0.078231074
MAMDC2,-0.031031488,-0.17227928,0.182034,0.013799538,0.013674277,0.11539691,0.0018328463,0.028322497,0.111936495,0.28365046,0.11562536,0.18515073,0.00456842
IGF2BP2,-0.035901945,-0.00026866957,0.034537148,0.18540108,0.06871101,0.029216392,-0.021777127,-0.057741318,-0.014412009,-0.14044465,-0.019335158,0.2655155,-0.042673368
CXCL12,0.17380895,0.10579034,0.13248034,0.007310902,-0.014925316,-0.06947722,0.08312432,-0.088560425,0.0061910497,-0.106286906,-0.14746611,-0.14745975,-0.008813087
PRSS35,-0.054031886,0.0795129,0.1405321,0.038746722,-0.0011912481,0.057503764,-0.008145442,0.07940404,0.099437214,0.38570154,-0.013759599,-0.10136744,0.0046782177
ABI3BP,0.09630386,0.27665958,0.10429475,0.11908888,-0.0009879374,-0.0066367546,0.0059059225,-0.097704984,0.08432791,0.023591567,-0.021837505,-0.0840686,0.11694836
EYA4,-0.05959171,0.058868226,0.041792598,0.26941603,0.11510301,0.02309035,-0.011001769,-0.1721692,-0.0128879575,-0.058433253,-0.11720242,-0.06889609,-0.20983152
NDN,-0.01230223,0.015731527,0.05204879,0.18554315,-0.0006617333,0.0031455618,-0.028257001,-0.0390485,-0.0793917,-0.028781058,0.002742642,-0.03358564,-0.0031549346
SERPINF1,0.019719854,0.097610444,0.07242438,0.023269089,-0.042863596,-0.0073722247,-0.06864775,-0.30355692,0.21784128,0.25522605,-0.030648626,-0.0091501195,0.026576145
EBF3,0.007954876,-0.042163465,0.16244256,0.09511865,0.0021649452,-0.012102548,0.1680237,-0.034722414,0.031154068,0.007906662,-0.21715225,-0.30041304,0.16580845
SLC13A5,-0.073431216,0.009449689,-0.027414365,0.21290602,0.089583114,0.012172926,0.0021127968,-0.30066752,0.01950002,0.30238774,-0.07960788,-0.017253675,-0.13079917
PPP1R14C,-0.017716773,-0.04020099,0.055768356,0.21977066,-0.0076445183,-0.034270503,-0.024079766,-0.0007794795,0.011752907,-0.014347629,0.15749113,0.016557423,0.032460358
SERPING1,0.14683934,-0.033313982,0.21570821,0.03356805,-0.12343623,-0.02302272,-0.012936416,0.07922248,-0.019005053,-0.03203287,0.09523747,-0.09249508,0.31412244
CD248,0.0363191,0.19962502,0.04236711,-0.0773197,0.015468275,-0.0037131913,0.00045058745,-0.27426112,0.10575112,0.16058755,0.04658713,0.06268981,0.012789265
EEF1A2,0.03251507,-0.09527609,0.060040373,0.08190775,-0.00090645585,0.11418194,-0.1507276,-0.19659159,0.1658067,-0.11027638,0.01810849,-0.47336936,0.05659942
COL24A1,-0.12484831,-0.0985918,0.11787723,0.13552678,0.10602591,0.055435985,-0.0041108825,-0.09558456,0.009214711,0.34877807,-0.0073802923,0.13531968,-0.06635843
CXADR,-0.08284021,-0.08284011,0.035571646,0.30264938,0.11355879,-0.0073475116,-0.05034887,0.005025627,-0.0726081,-0.04297627,0.15196948,0.11491247,-0.0025737458
EFEMP1,0.055872504,0.22678657,0.077507935,0.107351206,0.004088119,-0.031704202,-0.05842502,-0.066430494,0.077074334,0.026631633,0.04169047,-0.15613596,0.017727146
