analysis_set,initial_factors,factor,activity_threshold_percent,active_group_count,active_groups,activity_class,minimum_group_r2,maximum_group_r2,mean_group_r2,median_group_r2,r2_range,r2_DOG2,r2_TARGET_OS,r2_GSE21257,r2_GSE39055
four_cohort_detection_aware,8,Factor1,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.976323127746582,14.183211326599121,8.843210339546204,9.606653451919556,12.206888198852539,14.183211326599121,8.602625131607056,10.610681772232056,1.976323127746582
four_cohort_detection_aware,8,Factor2,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,3.349018096923828,10.824501514434814,8.068327605724335,9.049895405769348,7.475483417510986,10.824501514434814,9.531545639038086,8.56824517250061,3.349018096923828
four_cohort_detection_aware,8,Factor3,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,3.755563497543335,8.032119274139404,5.6193336844444275,5.344825983047485,4.276555776596069,5.232948064804077,5.4567039012908936,3.755563497543335,8.032119274139404
four_cohort_detection_aware,8,Factor4,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.0607659816741943,4.834187030792236,2.643251419067383,2.3390263319015503,3.773421049118042,4.834187030792236,3.1442999839782715,1.0607659816741943,1.533752679824829
four_cohort_detection_aware,8,Factor5,0.5,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.0980079174041748,4.086118936538696,2.5348499417304993,2.977636456489563,3.9881110191345215,4.086118936538696,2.996474504470825,2.958798408508301,0.0980079174041748
four_cohort_detection_aware,8,Factor6,0.5,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.1737058162689209,4.702204465866089,2.15463787317276,1.8713206052780151,4.528498649597168,4.702204465866089,2.2978127002716064,1.4448285102844238,0.1737058162689209
four_cohort_detection_aware,8,Factor1,1.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.976323127746582,14.183211326599121,8.843210339546204,9.606653451919556,12.206888198852539,14.183211326599121,8.602625131607056,10.610681772232056,1.976323127746582
four_cohort_detection_aware,8,Factor2,1.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,3.349018096923828,10.824501514434814,8.068327605724335,9.049895405769348,7.475483417510986,10.824501514434814,9.531545639038086,8.56824517250061,3.349018096923828
four_cohort_detection_aware,8,Factor3,1.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,3.755563497543335,8.032119274139404,5.6193336844444275,5.344825983047485,4.276555776596069,5.232948064804077,5.4567039012908936,3.755563497543335,8.032119274139404
four_cohort_detection_aware,8,Factor4,1.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.0607659816741943,4.834187030792236,2.643251419067383,2.3390263319015503,3.773421049118042,4.834187030792236,3.1442999839782715,1.0607659816741943,1.533752679824829
four_cohort_detection_aware,8,Factor5,1.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.0980079174041748,4.086118936538696,2.5348499417304993,2.977636456489563,3.9881110191345215,4.086118936538696,2.996474504470825,2.958798408508301,0.0980079174041748
four_cohort_detection_aware,8,Factor6,1.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.1737058162689209,4.702204465866089,2.15463787317276,1.8713206052780151,4.528498649597168,4.702204465866089,2.2978127002716064,1.4448285102844238,0.1737058162689209
four_cohort_detection_aware,8,Factor1,2.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,1.976323127746582,14.183211326599121,8.843210339546204,9.606653451919556,12.206888198852539,14.183211326599121,8.602625131607056,10.610681772232056,1.976323127746582
four_cohort_detection_aware,8,Factor2,2.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,3.349018096923828,10.824501514434814,8.068327605724335,9.049895405769348,7.475483417510986,10.824501514434814,9.531545639038086,8.56824517250061,3.349018096923828
four_cohort_detection_aware,8,Factor3,2.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,3.755563497543335,8.032119274139404,5.6193336844444275,5.344825983047485,4.276555776596069,5.232948064804077,5.4567039012908936,3.755563497543335,8.032119274139404
four_cohort_detection_aware,8,Factor4,2.0,2,DOG2;TARGET_OS,partially_shared,1.0607659816741943,4.834187030792236,2.643251419067383,2.3390263319015503,3.773421049118042,4.834187030792236,3.1442999839782715,1.0607659816741943,1.533752679824829
four_cohort_detection_aware,8,Factor5,2.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.0980079174041748,4.086118936538696,2.5348499417304993,2.977636456489563,3.9881110191345215,4.086118936538696,2.996474504470825,2.958798408508301,0.0980079174041748
four_cohort_detection_aware,8,Factor6,2.0,2,DOG2;TARGET_OS,partially_shared,0.1737058162689209,4.702204465866089,2.15463787317276,1.8713206052780151,4.528498649597168,4.702204465866089,2.2978127002716064,1.4448285102844238,0.1737058162689209
