,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
RNASEL,0.15502816,-0.029942913,0.12555206,0.00994749,-0.006575716,0.4066646
SERPINB9,0.19616136,-0.06883034,0.038455218,-0.006910172,-0.19091234,0.21116513
SFRP4,0.1535556,0.15821877,0.11206482,-0.1301546,0.15942478,0.17193651
SLC13A5,-0.09989827,-0.05761086,0.23315075,0.07241042,-0.051267527,-0.45270896
SLC43A2,0.32586417,0.0008483508,0.0003098678,0.094138816,0.105074,-0.014221807
SLCO2B1,0.34589857,0.010009384,0.12790322,0.15118197,-0.14344467,-0.0065819942
SP100,0.19982052,-0.025485482,0.055193845,0.01801582,-0.14940067,0.3328932
SRM,-0.09380517,0.04467949,-0.012885557,0.16587964,-0.024214838,-0.28150675
SUSD1,0.12937015,-0.19816248,0.13491106,0.0005334593,0.0047933348,0.101303466
TAPBPL,0.22306928,-0.08674337,0.08113507,0.0022545925,-0.03514704,0.19265251
TBC1D9,0.21508242,-0.13483797,0.10362521,0.08297844,0.27838612,0.0032383075
TMEM123,0.07661728,-0.093615934,0.09432486,0.03546489,-0.0278469,0.27275288
TOP2A,-0.16181426,-0.00041868305,0.00017862479,0.4747664,0.0035961678,0.08468675
TRIP13,-0.14289641,-0.011044759,-0.05782156,0.36907232,0.014923392,0.033043396
TSPAN33,0.0023258494,-0.1668848,0.15307318,0.16537212,-0.14141075,-0.15867521
TYMS,-0.1779236,-0.07872777,0.0026564077,0.32543552,-0.005198989,0.06216837
UBE2T,-0.17314883,-0.11443344,-0.120115325,0.3330441,-0.006129004,0.012753404
UHRF1,-0.14202802,0.012175787,0.0054574413,0.4386609,0.0147319045,0.08117437
A4GALT,0.17471264,0.16937685,0.113441154,-0.12914713,-0.08236239,-0.012811747
AADAT,-0.10497639,-0.115482144,0.043980304,0.10175833,-0.026772015,-0.015745275
ABCA3,0.20766626,-0.11634817,0.13154586,0.10801958,-0.114194945,-0.12820975
ABI3BP,0.10847708,0.28207853,0.18786077,-0.0052137123,-0.012318943,-0.102233656
ACOT7,-0.043413382,-0.0421046,-0.09698873,0.2870817,0.0095704915,-0.12216283
