factor,view,group,r2
Factor1,RNA,DOG2,14.183211326599121
Factor2,RNA,DOG2,10.824501514434814
Factor3,RNA,DOG2,5.232948064804077
Factor4,RNA,DOG2,4.834187030792236
Factor5,RNA,DOG2,4.086118936538696
Factor6,RNA,DOG2,4.702204465866089
Factor1,RNA,GSE21257,10.610681772232056
Factor2,RNA,GSE21257,8.56824517250061
Factor3,RNA,GSE21257,3.755563497543335
Factor4,RNA,GSE21257,1.0607659816741943
Factor5,RNA,GSE21257,2.958798408508301
Factor6,RNA,GSE21257,1.4448285102844238
Factor1,RNA,GSE39055,1.976323127746582
Factor2,RNA,GSE39055,3.349018096923828
Factor3,RNA,GSE39055,8.032119274139404
Factor4,RNA,GSE39055,1.533752679824829
Factor5,RNA,GSE39055,0.0980079174041748
Factor6,RNA,GSE39055,0.1737058162689209
Factor1,RNA,TARGET_OS,8.602625131607056
Factor2,RNA,TARGET_OS,9.531545639038086
Factor3,RNA,TARGET_OS,5.4567039012908936
Factor4,RNA,TARGET_OS,3.1442999839782715
Factor5,RNA,TARGET_OS,2.996474504470825
Factor6,RNA,TARGET_OS,2.2978127002716064
