,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8
ABCC3,0.296885,0.0014771688,0.048842333,-0.03029562,-0.046693884,0.038131107,-0.114277385,-0.09799444
ADAMTS1,-0.011860607,0.2764194,0.06385028,-0.20567882,-0.0032622116,-0.04973495,0.2210403,0.11569409
ADAMTS4,0.059242416,0.23818149,0.07420925,-0.11348193,0.08256238,-0.08928242,0.16011049,0.29824647
ANGPT2,-0.007729571,0.013888448,0.036719885,0.0023394597,-0.044541225,-0.0013967205,0.3264494,0.12654223
ARHGAP30,0.36276394,-0.0059105516,0.0033849522,-0.041814227,-0.1508324,-0.040465146,-0.064699344,0.0055633457
ARHGDIB,0.3089443,-0.03926763,-0.006461914,0.13738845,-0.0034371205,0.029918868,0.11281362,-0.03887014
B2M,0.28050894,-0.043013986,0.000119214434,0.032925352,-0.1443753,0.13036545,0.00079225923,0.10544997
C1S,0.1637108,0.25506377,0.08215159,0.08703061,-0.014038604,0.1803407,-0.00022730345,-0.10830741
CARD9,0.3006127,-0.08257584,0.037950084,-0.001374448,0.005317199,-0.018141026,-0.087021835,-0.09524766
CCNA2,-0.07284755,-0.038881976,-0.022405602,-0.47723496,-0.0060477713,-0.109012306,0.014401586,0.25344306
CD74,0.33009645,0.022257593,0.046223547,0.0050100726,-0.28841686,0.007037535,-0.054302834,0.004028492
CD86,0.32393467,0.051864564,0.021612832,-0.028211461,-0.23673779,0.014382758,-0.12789927,0.09981785
CDC20,-0.09245213,-0.072239734,-0.0023066595,-0.41845122,-0.0077599664,-0.09360543,-0.07278897,0.25723195
CSF1R,0.30448422,-0.14510971,0.102060236,-0.0025571124,0.20166957,-0.003393628,-0.053538248,-0.04058968
CTSH,0.22766413,-0.0022416634,0.0316889,-0.006429983,-0.17033964,0.2081695,-0.14598536,0.0027491818
CXCL14,0.10965103,0.26096758,0.16013312,0.14399464,-0.0025319792,0.056986835,0.006576055,-0.054268554
CYP4V2,0.27829355,0.025629478,0.009791473,0.03906544,-0.057933092,0.18690668,-0.07824845,-0.03582515
DAPP1,0.3263079,4.3510532e-05,-0.025192311,0.0006746696,-0.15590875,0.03083704,-0.00075614854,-0.014039404
DENND1C,0.3597312,-0.07785568,0.018494835,0.00042978942,-0.082821004,-0.0456979,-0.038320716,-0.046970908
DTX3L,0.16021647,0.0002469352,0.06921826,-0.09390478,-0.13532451,0.33901212,-0.057162367,0.04369359
ECT2,-0.080501094,-0.0036635369,-0.0061253645,-0.4884446,0.0019191734,-0.014887531,-0.00058439566,0.3004925
EGR1,0.07356007,0.039789975,0.117640845,-0.0051780636,0.008659364,0.1308347,0.21028994,0.059969608
ELOVL4,-0.14104338,-0.048644036,0.16160373,-0.21400481,0.005571585,-0.097576246,-0.08157591,0.046656936
ENPP5,0.20280443,-0.067702636,-0.028897159,0.006435526,0.054725554,0.24006961,0.059950598,-0.16156572
EPAS1,0.15987669,0.09181684,0.16373971,0.08151209,-0.0017237184,0.31022123,0.24732251,-0.07660933
EPHA2,-0.091941774,-0.12182517,0.19774094,-0.176972,0.004858036,0.005023455,-0.009468057,0.22560422
EVI2A,0.25961947,0.09504882,0.0051495004,0.11826444,0.0038489397,-0.11532921,-0.089445874,0.1931708
FANCA,-0.12768123,-0.12324542,-0.03250037,-0.35138294,0.00062052015,-0.10391357,0.07467818,0.115575336
