,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9
KIF15,-0.11444173,-0.008980976,0.0071007996,-0.021731729,0.48155063,-0.07256361,0.0044302586,-0.13207376,-0.011663252
KIF22,-0.09018965,-0.076152086,9.253166e-06,-0.0074556232,0.42810357,-0.009732082,-0.10056926,-0.04329651,0.1378707
KIF23,-0.110625796,-0.050387196,-0.005031659,-0.001913075,0.45426053,-0.043064855,-0.010414579,-0.17825252,0.016921237
LY96,0.28984776,0.10615069,-0.01597913,0.004816936,-0.046767704,-0.010917294,-0.03228498,-0.10676132,0.019960348
MCAM,0.04837075,-0.09974414,0.31486574,-0.11714976,0.079359755,-0.19217019,0.4783912,-0.16276988,0.17509413
MCM5,-0.0913495,-0.088164106,-0.01627962,0.015078432,0.3893255,0.054214798,-0.07347419,0.022676641,0.124884486
MXRA5,0.069944695,0.40569213,0.00038755572,-0.1188071,0.0029345679,0.033815205,-0.08161755,-0.14387225,0.007914101
NDUFB9,-0.07370354,-0.20801947,0.015378489,0.0676183,0.13441329,0.0036175658,-0.010936605,0.011748677,0.08340714
NR2F1,-0.019314792,0.13511688,0.001134172,-0.06614196,0.163168,-0.19110961,0.16487318,0.12444441,0.1439233
OAS1,0.19913569,-0.017516218,0.009508043,-0.081532195,0.019636089,0.25784755,-0.21789952,-0.15639584,0.09322812
OAS2,0.222839,0.012229934,0.02791247,-0.08826078,0.009050091,0.23299015,-0.09018262,-0.21676801,0.088946044
OSBPL3,0.17996259,0.14305805,-0.008528063,-0.010777393,0.17347063,0.094796985,0.16808856,0.04152702,-0.08201011
PARP14,0.22155717,-0.0030545269,0.053324904,-0.12842631,0.08959227,0.24822609,-0.09494379,-0.09626983,-0.058579918
PARVG,0.36395317,-0.02652358,0.0021880092,-0.009353036,0.031848133,-0.0002081709,-0.15151802,0.09973935,0.011639147
POLE,-0.13422558,-0.054376222,0.025022162,-0.014524748,0.44485027,-0.009147836,-0.0142908,-0.009486496,0.02442539
PRKAR2B,0.18900071,-0.026343498,0.008707311,-0.08813932,-0.03586533,0.035699286,0.14822209,0.09379926,-0.26170522
PTK2B,0.29994613,-0.0052603213,-0.0009176063,0.19410436,0.0145977,-0.037214156,-0.018254068,0.010568186,-0.06428805
PTPRC,0.3475361,-0.045346223,0.012341862,0.089511,0.07399638,-0.00056901394,-0.049940187,-0.002246129,-0.11095118
PTPRO,0.28601944,-0.038562074,0.08202803,-0.09682812,0.009701954,0.030637592,-0.052217767,0.051293395,-0.15929946
RASSF5,0.23033212,-0.04916971,0.00032610228,-0.01419372,0.0034013102,0.052621633,-0.06892827,0.10642811,-0.11256631
RCOR2,-0.16943055,-0.17259036,0.3834053,-0.02726226,0.099007174,-0.20154065,-0.16690935,-0.08807474,0.020857329
RELN,0.07030819,0.08749221,0.13213974,-0.03337312,-0.014131897,-0.15685286,0.26394024,-0.044729363,-0.24639252
RNASEL,0.16846995,0.13243027,0.007652717,-0.014047117,0.03347865,0.3836269,0.03272965,-0.004408211,-0.031016806
SERPINB9,0.20190799,-0.098459765,-0.0002903811,-0.14870255,-0.003241284,0.25221726,0.10080241,0.04337602,-0.14290851
SFRP4,0.1400724,0.33189994,-0.012247426,0.049459998,-0.12863123,0.07039271,-0.01357256,0.0076298295,0.010040604
SLC13A5,-0.089519575,-0.12592697,0.34868765,-0.034317296,0.022650437,-0.33085537,-0.10991834,0.07704238,0.0006526739
SLC43A2,0.3297068,0.025603373,-0.014058718,0.09819716,0.023152241,-0.07548899,-0.0034454616,0.0036820285,-0.039120745
SLCO2B1,0.35852867,-0.0124705825,0.07015894,-0.15895729,0.08401792,0.0070379474,-0.12066007,0.059915457,-0.046805836
SP100,0.20628914,0.021385344,-0.00043658572,-0.14371237,0.016643677,0.33532116,-0.010877058,-0.0978568,-0.03203869
SRM,-0.08263924,-0.07003125,0.095072724,-0.07328359,0.118207976,-0.27642035,-0.14776616,-0.18747416,0.14824474
SUSD1,0.14262149,-0.10566607,0.1788993,0.11036987,0.0010834656,0.16707562,0.11341708,0.0006875537,-0.16915315
TAPBPL,0.23172759,-0.0036142902,0.03584411,-0.00637732,-0.0045294985,0.2275158,-0.020625224,-0.011712533,0.046034817
TBC1D9,0.21719939,0.051618095,0.10787527,0.33587354,0.07594805,0.0007276556,0.0009431926,0.02359339,-0.17831174
TMEM123,0.087635644,-0.01140995,0.061717004,-0.00086323183,0.09516251,0.28298,0.18261164,0.0052804695,-0.212287
TOP2A,-0.114153504,-0.0011614995,-0.0051885094,-0.0001334808,0.50947285,0.0064454563,-0.00036122926,0.0026684247,-0.012755496
TRIP13,-0.10349272,-0.019695574,-0.0061203935,0.012533589,0.38643277,-0.011360636,-0.01211195,-0.12977406,0.14678013
TSPAN33,0.028617986,-0.21178776,0.22157116,-0.055997115,0.14395833,-0.012737353,-0.07916995,0.13966653,0.11770913
TYMS,-0.13894565,-0.087722935,0.02601897,0.0078060403,0.36034104,0.05637754,0.030886402,-0.02178957,0.0081788385
UBE2T,-0.1364938,-0.17984214,-0.010750845,0.03520383,0.3497658,0.0112499315,0.006428479,-0.10017933,0.0810818
UHRF1,-0.097423196,0.02589955,-0.0008846443,0.0010818987,0.46560356,0.0042022103,-0.006506,-0.057665568,0.038360316
A4GALT,0.15996633,0.12301897,0.027567405,-0.18150195,-0.1565157,-0.07544892,0.107802406,0.022755075,-0.046810042
AADAT,-0.086846694,-0.11804591,0.116805464,0.006402182,0.10872106,0.03188045,-0.012490734,-0.04528266,-0.04368808
ABCA3,0.2146977,-0.17431517,0.14768067,-0.050954286,0.06769334,-0.02887243,0.013743715,0.16168913,-0.20777695
ABI3BP,0.109310254,0.2508823,0.063504905,-0.20349588,-0.010162465,-0.2169506,0.11842092,0.112629816,-0.09255753
ACOT7,-0.015773032,-0.11648531,-0.0031779897,0.048550148,0.26865962,-0.14510836,-0.0514913,-0.15717612,0.049894728
ACTA2,0.122949466,0.24725026,-0.024050381,-0.12873013,0.005694198,0.047669854,0.106009886,-0.012950221,0.097451195
ADAM12,0.03489523,0.17801388,0.027151112,0.08925791,0.10754572,-0.10171046,0.06363025,-0.09226965,-0.04222818
ADAM22,-0.1046416,-0.07869095,0.21060157,-0.093396924,0.14786257,-0.09027851,0.029489625,0.1132313,-0.19512697
ADAMTSL2,-0.014787785,0.08398622,0.36546785,0.0019444729,-0.044946354,0.0966958,0.08084009,0.006188286,-0.020438246
AEBP1,0.051992595,0.44792956,-0.0014167503,-0.030797224,-0.05702922,0.028472325,-0.09604644,-0.009595404,-0.00948462
AHR,0.1347337,0.19613178,-0.0069404114,-0.19086105,0.0926189,-0.019802285,0.18188328,-0.023249313,-0.13616464
AIF1,0.35600293,-0.116604045,-0.002604943,-0.13323092,-0.03291877,-0.06226023,-0.16927126,-0.0031174608,0.0009834019
ALCAM,0.13624556,-0.00018230705,-0.019130921,0.022471463,0.090171635,-0.0017838986,0.059442457,-0.0124393515,-0.23117806
ALDH1A1,0.12219311,-0.075032115,0.024819467,0.022538686,0.14923598,-0.10047242,0.0097610215,0.11591879,0.10419353
ALDH1A3,0.006960453,-0.0066999123,0.1677477,-0.08668567,0.06064682,-0.012261189,0.010523702,0.25655615,-0.0023672523
ALDOC,-0.0745752,0.027901718,-0.11014572,-0.05099299,0.02814048,0.08429858,-0.17312773,-0.1954168,-0.11608035
ALPL,-0.112788476,-0.13009408,0.42556247,0.099056035,0.061572257,0.08022154,-0.13343371,-0.08122327,0.09148512
ANGPTL2,-0.029468387,0.33979774,-0.0005006785,-0.18930331,0.06931236,-0.27307856,-0.14421675,-0.046112478,0.09136607
ANGPTL4,-0.09112769,0.07621742,0.16476263,-0.012541773,0.0004909192,0.19403112,-0.09284455,0.021234626,0.20277905
ANKRD35,0.012632683,0.18799135,0.11433272,-0.0076376,-0.092019506,-0.25342178,-0.012710385,0.036693387,-0.0019123612
APCDD1,-0.08572785,-0.1447978,0.38114718,0.045920998,0.09218545,-0.18324171,-0.009214068,0.11932103,0.020673187
APOC1,0.28495076,-0.13190162,4.181326e-05,-0.03442794,0.017933136,-0.08343663,-0.18354432,-0.034300856,-0.008007621
APOE,0.26495376,-0.0061112996,0.03590619,-0.0074922764,-0.046515092,-0.01947847,-0.10422521,0.0646857,0.10482601
ARHGEF19,-0.09396239,0.27184233,0.17786555,-0.010251386,-0.20409723,0.0060706153,-0.19361992,-0.048421513,0.034049887
ASPN,-0.03622241,0.3681889,0.007269995,-0.12423333,-0.000113648064,-0.24236582,-0.1729778,0.012142414,0.0017003461
ATP6V0D2,0.10327434,0.10331936,0.10792023,0.5262425,-0.007654554,-0.0004781055,-0.0010458871,0.012130849,0.053296167
ATP6V1A,0.12271443,0.08555882,0.11972086,0.4853124,0.11872875,0.0005273258,0.042337257,-0.0051585655,-0.09253883
ATP6V1B2,0.13904613,0.081855044,0.07569185,0.50733197,0.06792742,-0.006442193,0.0041366564,0.0051182634,-0.005869174
BAALC,0.030745018,0.08333411,0.014977269,-0.043499656,-0.085436665,-0.009662702,0.1343102,-0.05017235,0.04449367
BACE2,0.013848116,0.2760258,0.012293036,-0.027160082,-0.006950256,0.017421326,0.046080023,0.0705761,0.08080816
BAIAP2L2,-0.11449369,-0.09759014,0.28659898,-0.016781535,0.00087299565,-0.01261695,-0.011095358,0.03282265,0.02138274
BAMBI,-0.110842325,-0.20111553,0.42821065,0.1501239,0.005294958,0.02338443,-0.029860776,0.013472222,-0.010393015
BASP1,0.001838223,0.16685309,-0.026095673,-0.042760413,0.098043315,-0.2482665,-0.20042062,0.07188183,0.07583195
BCAT1,0.022218466,0.01637019,-0.004133105,-0.08535975,0.19284399,-0.31801295,0.07267615,-0.20915529,-0.21523355
BCL11A,-0.052288655,-0.016716251,-0.01354527,-0.033087216,0.17247559,-0.13689831,-0.0546254,0.32394028,0.043043345
