factor,view,group,r2
Factor1,RNA,DOG2,13.666021823883057
Factor2,RNA,DOG2,9.754681587219238
Factor3,RNA,DOG2,4.938632249832153
Factor4,RNA,DOG2,5.006718635559082
Factor5,RNA,DOG2,3.902566432952881
Factor6,RNA,DOG2,6.866872310638428
Factor7,RNA,DOG2,3.21958065032959
Factor8,RNA,DOG2,3.2569408416748047
Factor1,RNA,GSE21257,10.441851615905762
Factor2,RNA,GSE21257,9.167802333831787
Factor3,RNA,GSE21257,3.946065902709961
Factor4,RNA,GSE21257,1.4585554599761963
Factor5,RNA,GSE21257,2.3168563842773438
Factor6,RNA,GSE21257,0.610893964767456
Factor7,RNA,GSE21257,1.382368803024292
Factor8,RNA,GSE21257,2.028745412826538
Factor1,RNA,GSE39055,2.091968059539795
Factor2,RNA,GSE39055,3.860950469970703
Factor3,RNA,GSE39055,7.428789138793945
Factor4,RNA,GSE39055,1.3411521911621094
Factor5,RNA,GSE39055,0.18401741981506348
Factor6,RNA,GSE39055,0.07554888725280762
Factor7,RNA,GSE39055,0.5657196044921875
Factor8,RNA,GSE39055,0.7587432861328125
Factor1,RNA,TARGET_OS,9.003043174743652
Factor2,RNA,TARGET_OS,10.104602575302124
Factor3,RNA,TARGET_OS,5.316674709320068
Factor4,RNA,TARGET_OS,3.7420570850372314
Factor5,RNA,TARGET_OS,2.4547159671783447
Factor6,RNA,TARGET_OS,0.7801651954650879
Factor7,RNA,TARGET_OS,2.635389566421509
Factor8,RNA,TARGET_OS,1.5316426753997803
